neuron_id,oscillation,mean_angle,var,p,session_name,group_name,experiment_name,group,neuron_type,width_basepost,mean_firing_rate,cv_isi_burst
1069,delta,-2.84,0.86,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,31.043712171287893,1.762948517176924,0.9354405859667604
1069,theta,2.51,0.92,0.01,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,31.043712171287893,1.762948517176924,0.9354405859667604
1070,delta,-2.82,0.89,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,32.71172718074294,5.95043769121596,0.8295703560641289
1070,theta,1.87,0.94,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,32.71172718074294,5.95043769121596,0.8295703560641289
1071,delta,1.68,0.98,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,FF,47.19102518708712,9.444791697576658,0.6503707485630601
1071,theta,1.88,0.94,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,FF,47.19102518708712,9.444791697576658,0.6503707485630601
1072,delta,0.48,0.94,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,FF,61.01998929603658,9.497278748985693,0.7665325175493309
1072,theta,2.43,0.94,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,FF,61.01998929603658,9.497278748985693,0.7665325175493309
1074,delta,-1.91,0.95,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,48.56139048425379,3.230634058500055,0.744523670104607
1074,theta,2.24,0.98,0.58,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,48.56139048425379,3.230634058500055,0.744523670104607
1075,delta,-2.46,0.93,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SR,45.53801670136889,4.831330682934524,0.6653431521743454
1075,theta,1.57,0.96,0.04,hamilton_01,chronic_saline,HAMILTON,SAL,SR,45.53801670136889,4.831330682934524,0.6653431521743454
1076,delta,1.97,0.94,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,55.84665374280624,2.0931717249711914,0.820416237882713
1076,theta,2.29,0.96,0.24,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,55.84665374280624,2.0931717249711914,0.820416237882713
1077,delta,0.04,0.42,0.33,hamilton_01,chronic_saline,HAMILTON,SAL,SR,,,
1077,theta,0.85,0.27,0.5,hamilton_01,chronic_saline,HAMILTON,SAL,SR,,,
1078,delta,-2.61,0.97,0.1,hamilton_01,chronic_saline,HAMILTON,SAL,SR,77.13020646373786,2.736619964055828,0.8040454211736818
1078,theta,1.12,0.96,0.08,hamilton_01,chronic_saline,HAMILTON,SAL,SR,77.13020646373786,2.736619964055828,0.8040454211736818
1079,delta,-2.26,0.93,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,48.97367434923086,3.824250702115576,0.715278923297411
1079,theta,2.74,0.97,0.07,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,48.97367434923086,3.824250702115576,0.715278923297411
1080,delta,-2.9,0.88,0.88,hamilton_01,chronic_saline,HAMILTON,SAL,SR,,,
1080,theta,0.71,0.0,0.23,hamilton_01,chronic_saline,HAMILTON,SAL,SR,,,
1081,delta,-2.09,0.95,0.04,hamilton_01,chronic_saline,HAMILTON,SAL,SR,43.5897424583585,6.055029733916969,0.5124268275629028
1081,theta,2.86,0.96,0.29,hamilton_01,chronic_saline,HAMILTON,SAL,SR,43.5897424583585,6.055029733916969,0.5124268275629028
1082,delta,0.77,0.99,0.61,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,45.589342294985386,3.460131082673331,0.8528711736647018
1082,theta,2.01,0.86,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,45.589342294985386,3.460131082673331,0.8528711736647018
1084,delta,-2.58,0.84,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,38.14567928405828,1.8214534718277733,0.8364701003986172
1084,theta,2.31,0.93,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,38.14567928405828,1.8214534718277733,0.8364701003986172
1085,delta,2.75,0.95,0.15,hamilton_01,chronic_saline,HAMILTON,SAL,SR,65.75660282245286,1.396951583958944,0.5657885526696022
1085,theta,-1.24,0.93,0.6,hamilton_01,chronic_saline,HAMILTON,SAL,SR,65.75660282245286,1.396951583958944,0.5657885526696022
