neuron_id,n_sw,n_act,Mean_sw,Mean_act,Diff,U,p,sig,Diff_raw
1069,1273.0,526.0,0.01,-0.02,-0.03,340900.0,0.58,False,-0.06
1070,1273.0,526.0,-0.24,0.58,0.83,177289.5,0.0,True,3.19
1071,1273.0,526.0,0.1,-0.25,-0.35,407634.5,0.0,True,-1.27
1072,1273.0,526.0,0.02,-0.05,-0.07,324412.0,0.35,False,-0.2
1074,1273.0,526.0,-0.17,0.42,0.59,219842.5,0.0,True,1.16
1075,1273.0,526.0,-0.21,0.52,0.73,206528.5,0.0,True,2.18
1076,1273.0,526.0,-0.2,0.48,0.67,226237.5,0.0,True,1.18
1077,1273.0,526.0,0.0,-0.0,-0.0,334841.0,0.97,False,-0.0
1078,1273.0,526.0,-0.26,0.62,0.88,179324.0,0.0,True,1.76
1079,1273.0,526.0,-0.31,0.75,1.06,146805.5,0.0,True,3.28
1080,1273.0,526.0,0.02,-0.04,-0.06,336419.0,0.32,False,-0.0
1081,1273.0,526.0,-0.1,0.23,0.33,319608.0,0.06,False,1.06
1082,1273.0,526.0,-0.21,0.5,0.71,204282.0,0.0,True,1.23
1084,1273.0,526.0,-0.24,0.59,0.84,193603.0,0.0,True,1.66
1085,1273.0,526.0,0.1,-0.25,-0.36,402433.5,0.0,True,-0.3
1086,1273.0,526.0,0.15,-0.37,-0.52,428508.5,0.0,True,-0.77
1087,1273.0,526.0,0.02,-0.06,-0.08,348106.0,0.19,False,-0.07
1088,677.0,1122.0,-0.13,0.08,0.21,356046.0,0.0,True,0.09
1089,677.0,1122.0,0.07,-0.04,-0.11,382487.0,0.04,True,-0.01
1093,677.0,1122.0,-0.28,0.17,0.45,278623.0,0.0,True,0.88
1094,677.0,1122.0,-0.26,0.16,0.42,269317.5,0.0,True,0.46
1095,677.0,1122.0,0.08,-0.05,-0.13,385136.5,0.1,False,-0.05
1096,677.0,1122.0,-0.02,0.01,0.04,377534.5,0.29,False,0.0
1098,677.0,1122.0,-0.32,0.19,0.51,281734.0,0.0,True,0.61
1099,677.0,1122.0,0.02,-0.01,-0.03,378947.0,0.82,False,-0.01
1100,677.0,1122.0,-0.04,0.02,0.06,365025.0,0.19,False,0.08
1102,677.0,1122.0,0.11,-0.06,-0.17,386647.0,0.0,True,-0.03
1103,677.0,1122.0,-0.02,0.01,0.04,379458.5,0.49,False,0.0
1104,677.0,1122.0,-0.02,0.01,0.04,379458.5,0.49,False,0.0
1105,677.0,1122.0,-0.42,0.25,0.67,234064.0,0.0,True,0.81
1106,677.0,1122.0,-0.06,0.04,0.1,363309.0,0.0,True,0.04
1107,677.0,1122.0,0.66,-0.4,-1.07,605944.5,0.0,True,-1.18
1108,677.0,1122.0,-0.05,0.03,0.08,378443.0,0.15,False,0.0
1109,677.0,1122.0,-0.04,0.02,0.07,378781.5,0.22,False,0.0
1110,677.0,1122.0,0.01,-0.01,-0.02,380773.0,0.75,False,-0.0
1111,677.0,1122.0,0.14,-0.08,-0.22,432336.5,0.0,True,-0.3
1114,768.0,1031.0,-0.01,0.01,0.01,404812.5,0.47,False,0.07
1116,768.0,1031.0,-0.25,0.19,0.44,288337.0,0.0,True,1.45
1118,768.0,1031.0,-0.08,0.06,0.14,363874.0,0.0,True,0.1
1119,768.0,1031.0,-0.11,0.08,0.18,361270.0,0.0,True,0.16
1121,768.0,1031.0,0.03,-0.02,-0.05,414087.5,0.11,False,-0.09
1123,768.0,1031.0,-0.17,0.13,0.3,328564.5,0.0,True,0.9
1124,768.0,1031.0,-0.01,0.01,0.01,402546.0,0.59,False,0.03
1127,768.0,1031.0,0.09,-0.07,-0.16,426452.0,0.0,True,-0.29
1128,768.0,1031.0,-0.0,0.0,0.0,397937.5,0.77,False,0.0
1129,768.0,1031.0,-0.23,0.17,0.4,302117.0,0.0,True,0.78
1131,768.0,1031.0,-0.2,0.15,0.34,322725.5,0.0,True,0.41
1133,768.0,1031.0,-0.06,0.04,0.1,385959.5,0.03,False,0.02
1134,768.0,1031.0,-0.18,0.14,0.32,338428.5,0.0,True,0.21
1136,768.0,1031.0,0.08,-0.06,-0.14,422688.0,0.01,True,-0.16
1137,768.0,1031.0,-0.01,0.01,0.02,391508.5,0.7,False,0.01
1138,768.0,1031.0,-0.27,0.2,0.47,293626.0,0.0,True,0.72
1139,768.0,1031.0,-0.13,0.1,0.23,349773.5,0.0,True,0.27
1140,768.0,1031.0,-0.08,0.06,0.13,377903.0,0.06,False,0.1
1141,768.0,1031.0,-0.17,0.13,0.3,331778.5,0.0,True,0.68
1142,768.0,1031.0,-0.03,0.02,0.05,388145.0,0.51,False,0.05
1143,1227.0,572.0,0.04,-0.09,-0.13,361660.5,0.34,False,-0.31
1144,1227.0,572.0,-0.07,0.16,0.24,308365.0,0.0,True,1.12
1145,1227.0,572.0,-0.22,0.47,0.69,219700.5,0.0,True,2.71
1146,1227.0,572.0,0.15,-0.32,-0.48,442807.0,0.0,True,-2.13
1148,1227.0,572.0,-0.08,0.17,0.24,240484.0,0.0,True,1.02
1149,1227.0,572.0,-0.01,0.03,0.04,347318.5,0.77,False,0.14
1150,1227.0,572.0,-0.16,0.35,0.52,248570.0,0.0,True,1.42
1151,1227.0,572.0,-0.16,0.33,0.49,258582.0,0.0,True,0.33
1152,1227.0,572.0,-0.2,0.42,0.62,229934.5,0.0,True,0.47
1153,1227.0,572.0,-0.24,0.52,0.76,181103.5,0.0,True,2.09
1154,1227.0,572.0,-0.31,0.65,0.96,156733.5,0.0,True,1.3
1156,1227.0,572.0,0.01,-0.02,-0.03,351208.0,0.55,False,-0.0
1157,1227.0,572.0,-0.04,0.09,0.14,350834.5,0.98,False,0.11
1158,1227.0,572.0,0.01,-0.02,-0.03,351208.0,0.55,False,-0.0
1159,1227.0,572.0,0.03,-0.07,-0.11,354532.0,0.08,False,-0.02
1165,1019.0,780.0,-0.05,0.06,0.11,388527.0,0.03,True,0.02
1166,1019.0,780.0,-0.26,0.34,0.61,250020.0,0.0,True,0.97
1167,1019.0,780.0,0.01,-0.01,-0.02,414351.5,0.12,False,-0.04
1168,1019.0,780.0,-0.27,0.35,0.61,236377.5,0.0,True,0.94
1170,1019.0,780.0,-0.03,0.04,0.08,392959.0,0.48,False,0.04
1171,1019.0,780.0,0.01,-0.01,-0.02,401812.5,0.48,False,-0.01
1172,1019.0,780.0,-0.14,0.19,0.33,349110.5,0.0,True,0.17
1173,1019.0,780.0,0.11,-0.14,-0.25,452266.5,0.0,True,-0.2
1174,1019.0,780.0,-0.0,0.0,0.0,395220.5,0.78,False,0.0
1175,1019.0,780.0,-0.05,0.06,0.11,379188.5,0.11,False,0.21
1176,1041.0,758.0,0.15,-0.21,-0.36,488276.5,0.0,True,-0.4
1177,1041.0,758.0,-0.01,0.01,0.02,392032.0,0.09,False,0.01
1178,1041.0,758.0,-0.37,0.51,0.88,199923.0,0.0,True,1.51
1179,1041.0,758.0,-0.06,0.08,0.13,378780.5,0.18,False,0.5
1180,1041.0,758.0,0.29,-0.4,-0.68,532418.0,0.0,True,-0.79
1181,1041.0,758.0,0.22,-0.3,-0.52,490619.0,0.0,True,-0.98
1182,1041.0,758.0,-0.11,0.15,0.26,365362.5,0.01,True,0.53
1183,1041.0,758.0,-0.35,0.48,0.83,207719.5,0.0,True,1.01
1184,1275.0,524.0,-0.12,0.3,0.42,259224.5,0.0,True,0.61
1185,1275.0,524.0,-0.02,0.04,0.06,333559.0,0.64,False,0.01
1186,1275.0,524.0,-0.05,0.11,0.15,307824.5,0.01,True,0.68
1187,1275.0,524.0,-0.05,0.13,0.18,311111.5,0.01,True,0.17
