neuron_id,lag,time,cc,session_name,bin_width,block
1074,0,0.0,0.010682540513833794,hamilton_01,0.05,pre
1075,0,0.0,0.009008535936707392,hamilton_01,0.05,pre
1079,0,0.0,0.0015147064407911627,hamilton_01,0.05,pre
1080,0,0.0,-0.004473497194480928,hamilton_01,0.05,pre
1082,0,0.0,0.002302896118268627,hamilton_01,0.05,pre
1084,0,0.0,0.020364121651356194,hamilton_01,0.05,pre
1087,0,0.0,-0.011295787649135596,hamilton_01,0.05,pre
1093,0,0.0,-0.07012325196596442,hamilton_02,0.05,pre
1094,0,0.0,-0.02048850433830991,hamilton_02,0.05,pre
1095,0,0.0,0.024086160336901,hamilton_02,0.05,pre
1099,0,0.0,0.005860894055353954,hamilton_02,0.05,pre
1111,0,0.0,-0.07028636662793326,hamilton_02,0.05,pre
1143,0,0.0,0.0099584143776365,hamilton_13,0.05,pre
1145,0,0.0,0.028532729313415713,hamilton_13,0.05,pre
1151,0,0.0,0.022859871591263202,hamilton_13,0.05,pre
1152,0,0.0,0.018620889699110642,hamilton_13,0.05,pre
1153,0,0.0,0.006830510100441805,hamilton_13,0.05,pre
1154,0,0.0,0.026235191253286286,hamilton_13,0.05,pre
1157,0,0.0,-0.011576394920832043,hamilton_13,0.05,pre
1159,0,0.0,0.005825631013159734,hamilton_13,0.05,pre
1166,0,0.0,-0.1639091966125306,hamilton_14,0.05,pre
1168,0,0.0,-0.08326849500861673,hamilton_14,0.05,pre
1170,0,0.0,-0.03738181781263503,hamilton_14,0.05,pre
1171,0,0.0,-0.03504568088260441,hamilton_14,0.05,pre
1174,0,0.0,-0.024100516984531622,hamilton_14,0.05,pre
1175,0,0.0,-0.16749482135976032,hamilton_14,0.05,pre
1250,0,0.0,0.04065906205195973,hamilton_23,0.05,pre
1255,0,0.0,0.030605949332518714,hamilton_23,0.05,pre
1260,0,0.0,0.005415370047858343,hamilton_23,0.05,pre
1261,0,0.0,0.002912271014442596,hamilton_23,0.05,pre
1265,0,0.0,0.030833578564787686,hamilton_23,0.05,pre
1266,0,0.0,-0.0012115901896149644,hamilton_23,0.05,pre
1269,0,0.0,0.0005317484982662325,hamilton_23,0.05,pre
1270,0,0.0,0.02299381442705858,hamilton_23,0.05,pre
1271,0,0.0,0.009514229904477612,hamilton_23,0.05,pre
1272,0,0.0,0.01176040005647834,hamilton_23,0.05,pre
1274,0,0.0,0.04661149059203063,hamilton_23,0.05,pre
1279,0,0.0,0.007392952288453926,hamilton_23,0.05,pre
1280,0,0.0,0.005518038798546894,hamilton_23,0.05,pre
1281,0,0.0,0.04123336746619145,hamilton_23,0.05,pre
1282,0,0.0,0.001954689759596544,hamilton_23,0.05,pre
1283,0,0.0,0.037361031562783475,hamilton_23,0.05,pre
1285,0,0.0,-6.964558721899363e-05,hamilton_23,0.05,pre
1288,0,0.0,0.047589532714177964,hamilton_23,0.05,pre
1289,0,0.0,0.03414200734320418,hamilton_23,0.05,pre
1292,0,0.0,0.01749670320938347,hamilton_23,0.05,pre
1293,0,0.0,0.04229858965185969,hamilton_23,0.05,pre
1299,0,0.0,0.05408325058823886,hamilton_23,0.05,pre
1301,0,0.0,0.03834416631068063,hamilton_23,0.05,pre
1303,0,0.0,0.055758612984737825,hamilton_23,0.05,pre
1304,0,0.0,0.042178001602293506,hamilton_23,0.05,pre
1305,0,0.0,0.046946784012401675,hamilton_23,0.05,pre
1311,0,0.0,0.03066738128179303,hamilton_23,0.05,pre
1312,0,0.0,0.005881843431624949,hamilton_23,0.05,pre
1315,0,0.0,-0.005565490359173072,hamilton_23,0.05,pre
1316,0,0.0,0.025351580885616957,hamilton_23,0.05,pre
1318,0,0.0,0.012647600875725527,hamilton_23,0.05,pre
1321,0,0.0,-0.005974069764528075,hamilton_23,0.05,pre
1322,0,0.0,0.057284666869151096,hamilton_23,0.05,pre
1323,0,0.0,0.02486953071066068,hamilton_23,0.05,pre
1326,0,0.0,0.001369240525556927,hamilton_23,0.05,pre
1327,0,0.0,0.009588672175153634,hamilton_23,0.05,pre
1328,0,0.0,0.04172621718636269,hamilton_23,0.05,pre
1330,0,0.0,-0.06559477957383883,hamilton_23,0.05,pre
1332,0,0.0,-0.001981298862294333,hamilton_23,0.05,pre
1333,0,0.0,0.041373782009688574,hamilton_23,0.05,pre
1334,0,0.0,0.06612832107882792,hamilton_23,0.05,pre
1336,0,0.0,0.008827703323377503,hamilton_23,0.05,pre
1337,0,0.0,0.037661509901579425,hamilton_23,0.05,pre
1341,0,0.0,-0.003507481785987024,hamilton_23,0.05,pre
1344,0,0.0,0.002371515568351455,hamilton_23,0.05,pre
1345,0,0.0,-0.01004692983982118,hamilton_23,0.05,pre
1346,0,0.0,0.038150768319592625,hamilton_23,0.05,pre
1349,0,0.0,0.027444830438693002,hamilton_23,0.05,pre
1353,0,0.0,0.008661508919702668,hamilton_07,0.05,pre
1354,0,0.0,0.0249312187750649,hamilton_07,0.05,pre
1357,0,0.0,0.03568484815626599,hamilton_07,0.05,pre
1358,0,0.0,0.010166247554768009,hamilton_07,0.05,pre
1360,0,0.0,0.009096239424978178,hamilton_07,0.05,pre
1361,0,0.0,0.015272113060835,hamilton_07,0.05,pre
1364,0,0.0,0.011244988627136071,hamilton_07,0.05,pre
1365,0,0.0,0.018914642874473187,hamilton_07,0.05,pre
1369,0,0.0,0.022675087419922687,hamilton_07,0.05,pre
1370,0,0.0,0.011100471743202613,hamilton_07,0.05,pre
1372,0,0.0,0.02346831521675522,hamilton_07,0.05,pre
1373,0,0.0,0.02361302642144128,hamilton_07,0.05,pre
1375,0,0.0,0.012983436586228572,hamilton_07,0.05,pre
1378,0,0.0,-0.007265945996208265,hamilton_07,0.05,pre
1379,0,0.0,0.017907609067808257,hamilton_07,0.05,pre
1380,0,0.0,0.011085853789157208,hamilton_07,0.05,pre
1384,0,0.0,-0.0018897968361677822,hamilton_07,0.05,pre
1385,0,0.0,0.009662998213504304,hamilton_07,0.05,pre
1389,0,0.0,0.03822647770129643,hamilton_07,0.05,pre
1391,0,0.0,0.019524419940048665,hamilton_07,0.05,pre
1395,0,0.0,0.02570043790246447,hamilton_07,0.05,pre
1396,0,0.0,0.08380335557584936,hamilton_07,0.05,pre
1397,0,0.0,0.08198120087912716,hamilton_07,0.05,pre
1404,0,0.0,0.005817781158567131,hamilton_07,0.05,pre
1405,0,0.0,0.006842976784208341,hamilton_07,0.05,pre
1413,0,0.0,0.027739960814222336,hamilton_07,0.05,pre
1416,0,0.0,0.016872720262583154,hamilton_08,0.05,pre
1419,0,0.0,0.06596636852416626,hamilton_08,0.05,pre
1424,0,0.0,0.03614460098157734,hamilton_08,0.05,pre
1426,0,0.0,0.06921652501648187,hamilton_08,0.05,pre
1429,0,0.0,0.02827509526115386,hamilton_08,0.05,pre
1435,0,0.0,0.013454595944457802,hamilton_08,0.05,pre
1438,0,0.0,0.04105506593273847,hamilton_08,0.05,pre
1440,0,0.0,-0.023376048477102195,hamilton_08,0.05,pre
1441,0,0.0,0.02107612762706052,hamilton_08,0.05,pre
1443,0,0.0,0.010878553788625652,hamilton_08,0.05,pre
1452,0,0.0,0.00799374393655279,hamilton_08,0.05,pre
1460,0,0.0,0.10386793475501861,hamilton_08,0.05,pre
1461,0,0.0,0.09846391775017073,hamilton_08,0.05,pre
1463,0,0.0,0.06071541889196543,hamilton_08,0.05,pre
1465,0,0.0,-0.016690620105888402,hamilton_08,0.05,pre
1466,0,0.0,-0.0020611082081435136,hamilton_08,0.05,pre
1467,0,0.0,0.005597523936546398,hamilton_08,0.05,pre
1468,0,0.0,0.024134560784660978,hamilton_08,0.05,pre
1469,0,0.0,0.012861074632241424,hamilton_08,0.05,pre
1471,0,0.0,0.00832608225895732,hamilton_08,0.05,pre
1474,0,0.0,0.053322623392943365,hamilton_08,0.05,pre
1475,0,0.0,0.06197674251976323,hamilton_08,0.05,pre
1478,0,0.0,0.015817955796911684,hamilton_08,0.05,pre
1479,0,0.0,0.05367665248609889,hamilton_08,0.05,pre
1481,0,0.0,-0.0008753199231106934,hamilton_08,0.05,pre
1484,0,0.0,0.04900361553288373,hamilton_08,0.05,pre
1485,0,0.0,0.05896520287016296,hamilton_08,0.05,pre
1487,0,0.0,0.010967674691901309,hamilton_08,0.05,pre
1489,0,0.0,0.026199796716571404,hamilton_08,0.05,pre
1492,0,0.0,-0.0024751724145198523,hamilton_08,0.05,pre
1494,0,0.0,-0.0007174105601668644,hamilton_19,0.05,pre
1495,0,0.0,0.12495647776077126,hamilton_19,0.05,pre
1496,0,0.0,0.12492986361397841,hamilton_19,0.05,pre
1497,0,0.0,-0.010235519153964217,hamilton_19,0.05,pre
1500,0,0.0,0.023787412304340474,hamilton_19,0.05,pre
1501,0,0.0,0.03169968746290578,hamilton_19,0.05,pre
1505,0,0.0,-0.004330190257754406,hamilton_19,0.05,pre
1507,0,0.0,0.04982916420028352,hamilton_19,0.05,pre
1510,0,0.0,-0.012958327396843114,hamilton_19,0.05,pre
1514,0,0.0,0.0007958422311826207,hamilton_19,0.05,pre
1519,0,0.0,0.02859091812409611,hamilton_19,0.05,pre
1525,0,0.0,0.12484773662269578,hamilton_19,0.05,pre
1529,0,0.0,-0.010385780720986544,hamilton_19,0.05,pre
1530,0,0.0,0.022826897209264996,hamilton_19,0.05,pre
1532,0,0.0,0.017415384582182118,hamilton_19,0.05,pre
1533,0,0.0,0.08860502339964368,hamilton_19,0.05,pre
1535,0,0.0,0.10597790847252085,hamilton_19,0.05,pre
1538,0,0.0,0.05460468806846019,hamilton_19,0.05,pre
1541,0,0.0,0.04826295720667393,hamilton_19,0.05,pre
1542,0,0.0,0.03546360222057829,hamilton_19,0.05,pre
1543,0,0.0,0.021831876722392677,hamilton_19,0.05,pre
1544,0,0.0,0.07122385889088693,hamilton_19,0.05,pre
1545,0,0.0,0.018781915603227804,hamilton_19,0.05,pre
1547,0,0.0,-0.006109503052755054,hamilton_19,0.05,pre
1550,0,0.0,-0.1586821351346883,hamilton_19,0.05,pre
1551,0,0.0,0.05379030580622764,hamilton_19,0.05,pre
1552,0,0.0,0.035451718795359265,hamilton_19,0.05,pre
1553,0,0.0,0.02716231221948802,hamilton_19,0.05,pre
1554,0,0.0,-0.0031491559253011103,hamilton_20,0.05,pre
1558,0,0.0,0.008280296750493374,hamilton_20,0.05,pre
1560,0,0.0,-0.011754905767274478,hamilton_20,0.05,pre
1563,0,0.0,0.009346036353693181,hamilton_20,0.05,pre
1564,0,0.0,0.002435005168727019,hamilton_20,0.05,pre
1565,0,0.0,-0.004649696636824549,hamilton_20,0.05,pre
1567,0,0.0,0.015943325608881613,hamilton_20,0.05,pre
1569,0,0.0,0.0003122797373993341,hamilton_20,0.05,pre
1571,0,0.0,0.02866688603980769,hamilton_20,0.05,pre
1573,0,0.0,0.002285846849850893,hamilton_20,0.05,pre
1574,0,0.0,0.01821378476976229,hamilton_20,0.05,pre
1576,0,0.0,0.025964108656821215,hamilton_20,0.05,pre
1578,0,0.0,0.017471398876611376,hamilton_20,0.05,pre
1579,0,0.0,-0.003205218572974897,hamilton_20,0.05,pre
1580,0,0.0,0.029668551592198392,hamilton_20,0.05,pre
1581,0,0.0,0.005764077025133853,hamilton_20,0.05,pre
1584,0,0.0,-0.006416776196308956,hamilton_20,0.05,pre
1585,0,0.0,0.00375842630243865,hamilton_20,0.05,pre
1587,0,0.0,0.008144441618273017,hamilton_20,0.05,pre
1593,0,0.0,0.013247844939711794,hamilton_20,0.05,pre
1595,0,0.0,0.02005928644395455,hamilton_20,0.05,pre
1596,0,0.0,0.014283360644288392,hamilton_20,0.05,pre
1597,0,0.0,0.0017515937210021684,hamilton_20,0.05,pre
1602,0,0.0,0.001919760918951277,hamilton_20,0.05,pre
1603,0,0.0,0.0052319919627045065,hamilton_20,0.05,pre
1605,0,0.0,0.014638007816048614,hamilton_20,0.05,pre
1608,0,0.0,0.014623146494327954,hamilton_20,0.05,pre
1610,0,0.0,-0.0032743287522475273,hamilton_20,0.05,pre
1611,0,0.0,0.002380011251142593,hamilton_20,0.05,pre
1075,0,0.0,0.02148910255849604,hamilton_01,0.1,pre
1079,0,0.0,0.015680475121155054,hamilton_01,0.1,pre
1082,0,0.0,0.001370348632084744,hamilton_01,0.1,pre
1087,0,0.0,-0.012466957979573047,hamilton_01,0.1,pre
1089,0,0.0,0.008760025298776621,hamilton_02,0.1,pre
1093,0,0.0,-0.01021869849520344,hamilton_02,0.1,pre
1094,0,0.0,0.0016995368456050816,hamilton_02,0.1,pre
1096,0,0.0,0.031451709555874445,hamilton_02,0.1,pre
1099,0,0.0,0.020164329726288264,hamilton_02,0.1,pre
1100,0,0.0,-0.07220644554145803,hamilton_02,0.1,pre
1103,0,0.0,0.03771736276424586,hamilton_02,0.1,pre
1104,0,0.0,0.046970566900508263,hamilton_02,0.1,pre
1105,0,0.0,-0.06338856214591082,hamilton_02,0.1,pre
1143,0,0.0,0.03987309449134764,hamilton_13,0.1,pre
1144,0,0.0,-0.03716707782571672,hamilton_13,0.1,pre
1145,0,0.0,0.0758943254342389,hamilton_13,0.1,pre
1148,0,0.0,-0.08515354777443362,hamilton_13,0.1,pre
1149,0,0.0,0.021935814851295005,hamilton_13,0.1,pre
1150,0,0.0,0.058550167672779645,hamilton_13,0.1,pre
1151,0,0.0,0.04514723775363589,hamilton_13,0.1,pre
1153,0,0.0,0.026206843213290944,hamilton_13,0.1,pre
1154,0,0.0,0.05362760451963992,hamilton_13,0.1,pre
1165,0,0.0,0.026894915256470035,hamilton_14,0.1,pre
1166,0,0.0,-0.02339601388346248,hamilton_14,0.1,pre
1168,0,0.0,0.0021475858404623872,hamilton_14,0.1,pre
1171,0,0.0,-0.014035075779165756,hamilton_14,0.1,pre
1247,0,0.0,0.0768691149282685,hamilton_23,0.1,pre
1255,0,0.0,0.044744761438992586,hamilton_23,0.1,pre
1260,0,0.0,0.003688984090358471,hamilton_23,0.1,pre
1264,0,0.0,0.09616545897399098,hamilton_23,0.1,pre
1265,0,0.0,0.03792754081256184,hamilton_23,0.1,pre
1272,0,0.0,0.0369739573754459,hamilton_23,0.1,pre
1273,0,0.0,0.008206099674194417,hamilton_23,0.1,pre
1274,0,0.0,0.07399721869282355,hamilton_23,0.1,pre
1277,0,0.0,0.09853645661335862,hamilton_23,0.1,pre
1281,0,0.0,0.07920222686042319,hamilton_23,0.1,pre
1282,0,0.0,0.00873751220675317,hamilton_23,0.1,pre
1283,0,0.0,0.06297228626073434,hamilton_23,0.1,pre
1284,0,0.0,0.07213964357497,hamilton_23,0.1,pre
1285,0,0.0,0.07118507287912025,hamilton_23,0.1,pre
1286,0,0.0,0.009309438210855408,hamilton_23,0.1,pre
1288,0,0.0,0.058160794974782576,hamilton_23,0.1,pre
1292,0,0.0,0.019185501440821755,hamilton_23,0.1,pre
1294,0,0.0,0.017016009629708524,hamilton_23,0.1,pre
1299,0,0.0,0.06081279031097654,hamilton_23,0.1,pre
1302,0,0.0,0.06613725905655932,hamilton_23,0.1,pre
1311,0,0.0,0.02160755734276091,hamilton_23,0.1,pre
1312,0,0.0,0.02429426720618733,hamilton_23,0.1,pre
1315,0,0.0,0.006276718081874035,hamilton_23,0.1,pre
1317,0,0.0,0.04863784169012964,hamilton_23,0.1,pre
1320,0,0.0,-0.0024305130068893893,hamilton_23,0.1,pre
1323,0,0.0,0.024765629561703407,hamilton_23,0.1,pre
1326,0,0.0,0.006969785074631369,hamilton_23,0.1,pre
1327,0,0.0,-0.012615402122843785,hamilton_23,0.1,pre
1330,0,0.0,-0.04080972223442238,hamilton_23,0.1,pre
1331,0,0.0,0.031564564530182415,hamilton_23,0.1,pre
1332,0,0.0,-0.03248547000726915,hamilton_23,0.1,pre
1334,0,0.0,0.0795307774849203,hamilton_23,0.1,pre
1336,0,0.0,0.0027551667909810457,hamilton_23,0.1,pre
