dropped,score,session_name
SR,,hamilton_01
SIR,,hamilton_01
FF,,hamilton_01
SR,,hamilton_05
SIR,,hamilton_05
FF,,hamilton_05
SR,0.8668809285303706,hamilton_07
SIR,0.7864450252252515,hamilton_07
FF,0.8233521078849172,hamilton_07
SR,0.8602694096567793,hamilton_08
SIR,0.7139901393253358,hamilton_08
FF,0.8532389631327766,hamilton_08
SR,,hamilton_13
SIR,,hamilton_13
FF,,hamilton_13
SR,,hamilton_18
SIR,,hamilton_18
FF,,hamilton_18
SR,0.7210181341376716,hamilton_20
SIR,0.7848398646503087,hamilton_20
FF,0.80441432229989,hamilton_20
SR,0.8052643597654395,hamilton_23
SIR,0.7714254476408835,hamilton_23
FF,0.808276031357018,hamilton_23
SR,,hamilton_25
SIR,,hamilton_25
FF,,hamilton_25
SR,,hamilton_26
SIR,,hamilton_26
FF,,hamilton_26
SR,0.822836573808013,hamilton_28
SIR,0.8067524782364087,hamilton_28
FF,0.8381790965078286,hamilton_28
SR,0.816868126088039,hamilton_29
SIR,0.8211667722074616,hamilton_29
FF,0.8288455198042218,hamilton_29
SR,0.6997553659693962,hamilton_30
SIR,0.8296971302204229,hamilton_30
FF,0.7629972752355461,hamilton_30
