n_neurons,pop_score,session_name
1,0.5201206490180776,hamilton_01
2,0.644325086073086,hamilton_01
3,0.6387675486362951,hamilton_01
4,0.5491975439461154,hamilton_01
5,0.6434988419688168,hamilton_01
6,0.7714596293091502,hamilton_01
7,0.7386617668127181,hamilton_01
8,0.7838804814252125,hamilton_01
9,0.7849978090714862,hamilton_01
10,0.7842869591973043,hamilton_01
11,0.8201301152930978,hamilton_01
12,0.7831316425812135,hamilton_01
13,0.8191723531220404,hamilton_01
14,0.8078906247349094,hamilton_01
15,0.816635980731653,hamilton_01
16,0.817676309116473,hamilton_01
17,0.8168214353238721,hamilton_01
18,,hamilton_01
19,,hamilton_01
20,,hamilton_01
21,,hamilton_01
22,,hamilton_01
23,,hamilton_01
24,,hamilton_01
25,,hamilton_01
26,,hamilton_01
27,,hamilton_01
28,,hamilton_01
29,,hamilton_01
30,,hamilton_01
1,0.43113403192602345,hamilton_05
2,0.7303375213807467,hamilton_05
3,0.7150303737487406,hamilton_05
4,0.774768228593076,hamilton_05
5,0.8013414687593864,hamilton_05
6,0.8111910044934969,hamilton_05
7,0.7913243041997223,hamilton_05
8,0.8271694572797026,hamilton_05
9,,hamilton_05
10,,hamilton_05
11,,hamilton_05
12,,hamilton_05
13,,hamilton_05
14,,hamilton_05
15,,hamilton_05
16,,hamilton_05
17,,hamilton_05
18,,hamilton_05
19,,hamilton_05
20,,hamilton_05
21,,hamilton_05
22,,hamilton_05
23,,hamilton_05
24,,hamilton_05
25,,hamilton_05
26,,hamilton_05
27,,hamilton_05
28,,hamilton_05
29,,hamilton_05
30,,hamilton_05
1,0.3917653576620389,hamilton_07
2,0.5919157489013449,hamilton_07
3,0.5677215739366944,hamilton_07
4,0.7138841266503496,hamilton_07
5,0.6133271376256675,hamilton_07
6,0.6631356263748422,hamilton_07
7,0.718247336259919,hamilton_07
8,0.6838606227119717,hamilton_07
9,0.7916540401716261,hamilton_07
10,0.7179143960492018,hamilton_07
11,0.7726080245954595,hamilton_07
12,0.7626020589085011,hamilton_07
13,0.867008823077289,hamilton_07
14,0.7049562344409125,hamilton_07
15,0.8737323842347109,hamilton_07
16,0.7596362091304882,hamilton_07
17,0.7862053088407881,hamilton_07
18,0.8079255786830997,hamilton_07
19,0.7965713838114572,hamilton_07
20,0.8067028783813877,hamilton_07
21,0.8087820553942235,hamilton_07
22,0.8391753421626202,hamilton_07
23,0.8645171385176162,hamilton_07
24,0.8793708981657007,hamilton_07
25,0.8380336399381421,hamilton_07
26,0.8785002478305014,hamilton_07
27,0.8110124596725296,hamilton_07
28,0.8406468257812673,hamilton_07
29,0.8294476001257053,hamilton_07
30,0.8839437108580782,hamilton_07
1,0.39794148380355276,hamilton_08
2,0.7461392509034159,hamilton_08
3,0.6516707787545066,hamilton_08
4,0.6519088379657589,hamilton_08
5,0.7557082512471299,hamilton_08
6,0.711671289002325,hamilton_08
7,0.6599319155595813,hamilton_08
8,0.6249432795885512,hamilton_08
9,0.8026064657092871,hamilton_08
10,0.7425654378278115,hamilton_08
11,0.8731400085982367,hamilton_08
12,0.7329019106989724,hamilton_08
13,0.7256569459437777,hamilton_08
14,0.7402459292792554,hamilton_08
15,0.8577458322943313,hamilton_08
16,0.7710347040200987,hamilton_08
17,0.7767854087901078,hamilton_08
18,0.7574004527138796,hamilton_08
19,0.7395139296999382,hamilton_08
20,0.8189931570986012,hamilton_08
21,0.882802352886153,hamilton_08
22,0.8680125853072294,hamilton_08
23,0.8699510279262637,hamilton_08
24,0.8576738669469304,hamilton_08
25,0.8646152485965848,hamilton_08
26,0.8151994203350716,hamilton_08
27,0.8243744360527037,hamilton_08
28,0.8128620586873051,hamilton_08
29,0.8272679339684507,hamilton_08
30,0.8233429134152989,hamilton_08
1,0.42361298870764463,hamilton_13
2,0.48243649519969933,hamilton_13
3,0.6748296055869927,hamilton_13
4,0.641675540484254,hamilton_13
5,0.6556440521579333,hamilton_13
6,0.6612732821820194,hamilton_13
7,0.7744622384137505,hamilton_13
8,0.7124237691764685,hamilton_13
9,0.7326329655169147,hamilton_13
10,0.7278921366084297,hamilton_13
11,0.7821919544912298,hamilton_13
12,0.7987192409287228,hamilton_13
13,0.7867047328072998,hamilton_13
14,0.7985086306691346,hamilton_13
15,0.8110701240834421,hamilton_13
16,,hamilton_13
17,,hamilton_13
18,,hamilton_13
19,,hamilton_13
20,,hamilton_13
21,,hamilton_13
22,,hamilton_13
23,,hamilton_13
24,,hamilton_13
25,,hamilton_13
26,,hamilton_13
27,,hamilton_13
28,,hamilton_13
29,,hamilton_13
30,,hamilton_13
1,0.4831840596089368,hamilton_18
2,0.7200473049204893,hamilton_18
3,0.736739260958468,hamilton_18
4,0.7565852919362497,hamilton_18
5,0.8697118594553113,hamilton_18
6,0.7872091127770094,hamilton_18
7,0.8507750955555075,hamilton_18
8,0.8181343649163976,hamilton_18
9,0.8200099591984762,hamilton_18
10,0.8752226858422235,hamilton_18
11,0.8734755568319812,hamilton_18
12,0.8898115834823948,hamilton_18
13,0.8156910374903614,hamilton_18
14,0.8872719994162674,hamilton_18
15,0.8891517481977008,hamilton_18
16,0.882102562774828,hamilton_18
17,0.875697881810756,hamilton_18
18,0.8955166830893425,hamilton_18
19,0.8626811693444575,hamilton_18
20,0.8897249083727052,hamilton_18
21,0.8790471943047413,hamilton_18
22,0.8905871597695597,hamilton_18
23,0.8977299822702749,hamilton_18
24,0.8893478814681932,hamilton_18
25,,hamilton_18
26,,hamilton_18
27,,hamilton_18
28,,hamilton_18
29,,hamilton_18
30,,hamilton_18
1,0.4083599113214521,hamilton_20
2,0.4032709856400637,hamilton_20
3,0.5321264128121995,hamilton_20
4,0.6732003652378576,hamilton_20
5,0.6898569653690656,hamilton_20
6,0.6196020221752102,hamilton_20
7,0.7153224162870624,hamilton_20
8,0.6653785526538719,hamilton_20
9,0.6566166001543318,hamilton_20
10,0.6130030229064408,hamilton_20
11,0.7509145131351882,hamilton_20
12,0.7151572012474643,hamilton_20
13,0.8103049219093468,hamilton_20
14,0.8054538545601677,hamilton_20
15,0.8075153904489959,hamilton_20
16,0.7994581803202709,hamilton_20
17,0.8308032617425877,hamilton_20
18,0.821076716296042,hamilton_20
19,0.8079224263241445,hamilton_20
20,0.8007510412865937,hamilton_20
21,0.7805597959016484,hamilton_20
22,0.817459255958067,hamilton_20
23,0.7744484582640743,hamilton_20
24,0.8000197920830855,hamilton_20
25,0.8353447038222208,hamilton_20
26,0.8274121406763012,hamilton_20
27,0.8198730813193522,hamilton_20
28,0.784729823793322,hamilton_20
29,0.8062043362055359,hamilton_20
30,0.8122236652082269,hamilton_20
1,0.8,hamilton_23
2,0.4116098716098716,hamilton_23
3,0.37895618643761675,hamilton_23
4,0.6601238990115291,hamilton_23
5,0.7083781026307575,hamilton_23
6,0.6773539947112005,hamilton_23
7,0.6299204998192985,hamilton_23
8,0.8083197351985014,hamilton_23
9,0.7764959649949275,hamilton_23
10,0.7713295860847659,hamilton_23
11,0.7355439081438281,hamilton_23
12,0.8166491140522559,hamilton_23
13,0.7730754403245419,hamilton_23
14,0.7548124179799242,hamilton_23
15,0.8121575422156134,hamilton_23
16,0.8150339065216828,hamilton_23
17,0.8086229092634782,hamilton_23
18,0.8155792824178661,hamilton_23
19,0.8169175513108102,hamilton_23
20,0.8281562508231237,hamilton_23
21,0.7899388677355842,hamilton_23
22,0.7926810400457371,hamilton_23
23,0.8389261715543597,hamilton_23
24,0.7684319102367143,hamilton_23
25,0.7999465599536977,hamilton_23
26,0.7968660566903907,hamilton_23
27,0.8287444540769823,hamilton_23
28,0.7984590708110249,hamilton_23
29,0.7972049387306558,hamilton_23
30,0.8233355697736207,hamilton_23
1,0.80558733173184,hamilton_25
2,0.7057756979905827,hamilton_25
3,0.7327434230291177,hamilton_25
4,0.767452533712708,hamilton_25
5,0.8419897475405389,hamilton_25
6,0.7924286221556486,hamilton_25
7,0.842740459135172,hamilton_25
8,0.8471874284278826,hamilton_25
9,0.848483067060865,hamilton_25
10,0.8551402617982813,hamilton_25
11,0.8496762341129802,hamilton_25
12,0.8652806425250865,hamilton_25
13,0.8688468434843106,hamilton_25
14,0.8897195852611958,hamilton_25
15,0.8899916157035028,hamilton_25
16,0.8887380028403365,hamilton_25
17,0.8758051703797755,hamilton_25
18,0.9093585497892267,hamilton_25
19,0.8974556733896126,hamilton_25
20,0.9021166575554075,hamilton_25
21,0.9001722829588787,hamilton_25
22,0.9208494865444316,hamilton_25
23,0.912815268920804,hamilton_25
24,,hamilton_25
25,,hamilton_25
26,,hamilton_25
27,,hamilton_25
28,,hamilton_25
29,,hamilton_25
30,,hamilton_25
1,0.5653029603837997,hamilton_26
2,0.7730774679725041,hamilton_26
3,0.6103466042091534,hamilton_26
4,0.768839678418415,hamilton_26
5,0.7613183019742703,hamilton_26
6,0.8331744780359619,hamilton_26
7,0.8387003203463657,hamilton_26
8,0.8445497396064976,hamilton_26
9,0.7347635997160082,hamilton_26
10,0.8351295583220661,hamilton_26
11,0.8360418219408509,hamilton_26
12,0.8313779996090271,hamilton_26
13,0.907477872653774,hamilton_26
14,0.8966442758258861,hamilton_26
15,0.8514941691370097,hamilton_26
16,0.910091888528278,hamilton_26
17,0.9186341420867631,hamilton_26
18,0.9227933640921868,hamilton_26
19,0.9191127627279378,hamilton_26
20,0.9231836883290636,hamilton_26
21,0.9181321390491706,hamilton_26
22,0.9148349601330444,hamilton_26
23,,hamilton_26
24,,hamilton_26
25,,hamilton_26
26,,hamilton_26
27,,hamilton_26
28,,hamilton_26
29,,hamilton_26
30,,hamilton_26
1,0.7064340874743908,hamilton_28
2,0.6930051886254802,hamilton_28
3,0.7117650890871866,hamilton_28
4,0.6663472312328691,hamilton_28
5,0.7364455076954243,hamilton_28
6,0.7141526193303334,hamilton_28
7,0.7943907131358166,hamilton_28
8,0.8060519459213289,hamilton_28
9,0.7345457663779377,hamilton_28
10,0.7413245135132689,hamilton_28
11,0.8116991288721271,hamilton_28
12,0.7749868586063747,hamilton_28
13,0.8019064450003924,hamilton_28
14,0.7727920301811146,hamilton_28
15,0.8110652528258024,hamilton_28
16,0.8156322047937724,hamilton_28
17,0.8088836797085651,hamilton_28
18,0.8180832370725885,hamilton_28
19,0.8295245472835792,hamilton_28
20,0.8181750554035292,hamilton_28
21,0.8137178870075268,hamilton_28
22,0.8305128128174999,hamilton_28
23,0.80661209619277,hamilton_28
24,0.824727854379222,hamilton_28
25,0.8276796396678006,hamilton_28
26,0.8328509390963262,hamilton_28
27,0.8220553964518784,hamilton_28
28,0.836757629918113,hamilton_28
29,0.8344653457157116,hamilton_28
30,0.8328667238331354,hamilton_28
1,0.6095589978348901,hamilton_29
2,0.6530573130699836,hamilton_29
3,0.671053430967592,hamilton_29
4,0.6079150472446099,hamilton_29
5,0.678519900085461,hamilton_29
6,0.6911518608809171,hamilton_29
7,0.6998476590534425,hamilton_29
8,0.7940995781057628,hamilton_29
9,0.7544229741135862,hamilton_29
10,0.7266942860516675,hamilton_29
11,0.7488011372680855,hamilton_29
12,0.8163924263289634,hamilton_29
13,0.8063823397435422,hamilton_29
14,0.7475649168158818,hamilton_29
15,0.8240626464439721,hamilton_29
16,0.8215710534408849,hamilton_29
17,0.8344664361130919,hamilton_29
18,0.7779732881891378,hamilton_29
19,0.8525197137229883,hamilton_29
20,0.8113700898082719,hamilton_29
21,0.7767995168688804,hamilton_29
22,0.8212063907753115,hamilton_29
23,0.8340919398564957,hamilton_29
24,0.8353904845849065,hamilton_29
25,0.8372418647899396,hamilton_29
26,0.8149527973057641,hamilton_29
27,0.8590910911693628,hamilton_29
28,0.845210151505519,hamilton_29
29,0.8538411821474667,hamilton_29
30,0.8428435583761456,hamilton_29
1,0.3996133496133496,hamilton_30
2,0.47891436012572913,hamilton_30
3,0.5522237784694294,hamilton_30
4,0.6075558282573117,hamilton_30
5,0.5987480743481223,hamilton_30
6,0.7060138443125445,hamilton_30
7,0.5800955604753294,hamilton_30
8,0.7262876300958201,hamilton_30
9,0.6536588361444876,hamilton_30
10,0.5819883762911064,hamilton_30
11,0.7069478551111722,hamilton_30
12,0.7052688599828019,hamilton_30
13,0.6372088933858155,hamilton_30
14,0.7238326110873488,hamilton_30
15,0.7371648460209193,hamilton_30
16,0.6970252578099492,hamilton_30
17,0.6797723305262685,hamilton_30
18,0.8336937670084584,hamilton_30
19,0.6420789911782627,hamilton_30
20,0.8427045748609998,hamilton_30
21,0.8160646831665457,hamilton_30
22,0.7515943559871233,hamilton_30
23,0.8503350833275342,hamilton_30
24,0.7112016342685583,hamilton_30
25,0.8397579149054769,hamilton_30
26,0.7397075419235642,hamilton_30
27,0.8458085945711113,hamilton_30
28,0.7865836795125698,hamilton_30
29,0.8528039044357325,hamilton_30
30,0.8477920829333797,hamilton_30
