n_neurons,pop_score,session_name
1,0.4395878313287149,hamilton_01
2,0.41047378566704235,hamilton_01
3,0.4199173086621376,hamilton_01
4,0.42143108297829646,hamilton_01
5,0.4660054822962148,hamilton_01
6,0.412615475255201,hamilton_01
7,0.4324115743830122,hamilton_01
8,0.440813731162543,hamilton_01
9,0.4492842278952257,hamilton_01
10,0.4626786046953014,hamilton_01
11,0.47382246975888265,hamilton_01
12,0.43053686324397383,hamilton_01
13,0.46486143875082153,hamilton_01
14,0.4690008377084028,hamilton_01
15,0.4692810920701051,hamilton_01
16,0.4836430660984846,hamilton_01
17,0.4749309597335175,hamilton_01
18,,hamilton_01
19,,hamilton_01
20,,hamilton_01
21,,hamilton_01
22,,hamilton_01
23,,hamilton_01
24,,hamilton_01
25,,hamilton_01
26,,hamilton_01
27,,hamilton_01
28,,hamilton_01
29,,hamilton_01
30,,hamilton_01
1,0.375597458538806,hamilton_02
2,0.41527177644877816,hamilton_02
3,0.4583478256209519,hamilton_02
4,0.46429574733793866,hamilton_02
5,0.5221630556147718,hamilton_02
6,0.49955036141579157,hamilton_02
7,0.5427872366517568,hamilton_02
8,0.46068865017094324,hamilton_02
9,0.47312023319667906,hamilton_02
10,0.4950624031303108,hamilton_02
11,0.5385139583839331,hamilton_02
12,0.4738231818693042,hamilton_02
13,0.5053795655141738,hamilton_02
14,0.5508865870159306,hamilton_02
15,0.5682524078026108,hamilton_02
16,0.5513330817551966,hamilton_02
17,0.5689571325236459,hamilton_02
18,0.5636293123766671,hamilton_02
19,0.5632384445054172,hamilton_02
20,,hamilton_02
21,,hamilton_02
22,,hamilton_02
23,,hamilton_02
24,,hamilton_02
25,,hamilton_02
26,,hamilton_02
27,,hamilton_02
28,,hamilton_02
29,,hamilton_02
30,,hamilton_02
1,0.4136931588839762,hamilton_13
2,0.42506203598092035,hamilton_13
3,0.4254448136350996,hamilton_13
4,0.4409329963780751,hamilton_13
5,0.4145150132083648,hamilton_13
6,0.43555371980530105,hamilton_13
7,0.4435461162670631,hamilton_13
8,0.46008236173036876,hamilton_13
9,0.41824180313016346,hamilton_13
10,0.4361567721229235,hamilton_13
11,0.45768953792556727,hamilton_13
12,0.4475851246030681,hamilton_13
13,0.46718017774833154,hamilton_13
14,0.44363383439869064,hamilton_13
15,0.4758966411092088,hamilton_13
16,0.4722478330100957,hamilton_13
17,0.4396367162064826,hamilton_13
18,0.45455904518843004,hamilton_13
19,0.4856826689698657,hamilton_13
20,0.47255178790180946,hamilton_13
21,,hamilton_13
22,,hamilton_13
23,,hamilton_13
24,,hamilton_13
25,,hamilton_13
26,,hamilton_13
27,,hamilton_13
28,,hamilton_13
29,,hamilton_13
30,,hamilton_13
1,0.36,hamilton_14
2,0.4723413432072707,hamilton_14
3,0.5872337650789896,hamilton_14
4,0.5810310112508488,hamilton_14
5,0.48268870110512,hamilton_14
6,0.5627146222050905,hamilton_14
7,0.5295814089317525,hamilton_14
8,0.544281155962096,hamilton_14
9,0.4819015251293891,hamilton_14
10,0.5185617043971726,hamilton_14
11,,hamilton_14
12,,hamilton_14
13,,hamilton_14
14,,hamilton_14
15,,hamilton_14
16,,hamilton_14
17,,hamilton_14
18,,hamilton_14
19,,hamilton_14
20,,hamilton_14
21,,hamilton_14
22,,hamilton_14
23,,hamilton_14
24,,hamilton_14
25,,hamilton_14
26,,hamilton_14
27,,hamilton_14
28,,hamilton_14
29,,hamilton_14
30,,hamilton_14
1,0.469249905863985,hamilton_23
2,0.46251070820484425,hamilton_23
3,0.42575771601188084,hamilton_23
4,0.4266503633813363,hamilton_23
5,0.42272090733881545,hamilton_23
6,0.4014775517108684,hamilton_23
7,0.44059122687101393,hamilton_23
8,0.5001869724954034,hamilton_23
9,0.5020736301810229,hamilton_23
10,0.6396547940469329,hamilton_23
11,0.4726649123670595,hamilton_23
12,0.6972678293369838,hamilton_23
13,0.46386974534524733,hamilton_23
14,0.4690385324438441,hamilton_23
15,0.4842280556311323,hamilton_23
16,0.6890589405333212,hamilton_23
17,0.7117978342341458,hamilton_23
18,0.7031438447219827,hamilton_23
19,0.5017427284565144,hamilton_23
