dropped,score,session_name
SR,,hamilton_01
SIR,,hamilton_01
FF,,hamilton_01
SR,,hamilton_02
SIR,,hamilton_02
FF,,hamilton_02
SR,,hamilton_13
SIR,,hamilton_13
FF,,hamilton_13
SR,,hamilton_14
SIR,,hamilton_14
FF,,hamilton_14
SR,0.7447399460651709,hamilton_23
SIR,0.9288931386897404,hamilton_23
FF,0.9676795112287012,hamilton_23
SR,0.9906173440290139,hamilton_07
SIR,0.9920560352394532,hamilton_07
FF,0.9899579250910022,hamilton_07
SR,0.9715193442535425,hamilton_08
SIR,0.96114016763573,hamilton_08
FF,0.9641880578143425,hamilton_08
SR,0.9736852455454994,hamilton_19
SIR,0.9983432361898099,hamilton_19
FF,0.9212100655011712,hamilton_19
SR,0.8557444016615756,hamilton_20
SIR,0.9220466587900307,hamilton_20
FF,0.9648685340855986,hamilton_20
