n_neurons,pop_score,session_name
1,0.8100224834239695,hamilton_01
2,0.4501059699302951,hamilton_01
3,0.6082784983835274,hamilton_01
4,0.8151654251176348,hamilton_01
5,0.9252917036681391,hamilton_01
6,0.873532629881916,hamilton_01
7,0.9396260801279397,hamilton_01
8,0.9554127689885847,hamilton_01
9,0.9479210235754969,hamilton_01
10,0.9426774901599103,hamilton_01
11,0.955298422253253,hamilton_01
12,0.9561612615676365,hamilton_01
13,0.9554898358598478,hamilton_01
14,0.9647001848644561,hamilton_01
15,0.9595178190217535,hamilton_01
16,0.9637937792082882,hamilton_01
17,0.9653381652559473,hamilton_01
18,,hamilton_01
19,,hamilton_01
20,,hamilton_01
21,,hamilton_01
22,,hamilton_01
23,,hamilton_01
24,,hamilton_01
25,,hamilton_01
26,,hamilton_01
27,,hamilton_01
28,,hamilton_01
29,,hamilton_01
30,,hamilton_01
1,0.33596825464234376,hamilton_02
2,0.5756169577363769,hamilton_02
3,0.832571187933062,hamilton_02
4,0.823085855171643,hamilton_02
5,0.7521780226085244,hamilton_02
6,0.9768633504055861,hamilton_02
7,0.9570315931365923,hamilton_02
8,0.9603554207244261,hamilton_02
9,0.9239059221422983,hamilton_02
10,0.9837995015924438,hamilton_02
11,0.9869796423470945,hamilton_02
12,0.9714323983546811,hamilton_02
13,0.9866754524612917,hamilton_02
14,0.9859088791652436,hamilton_02
15,0.9882551554689624,hamilton_02
16,0.9888887275802161,hamilton_02
17,0.9887404070692266,hamilton_02
18,0.9898681699024833,hamilton_02
19,0.9894012840179206,hamilton_02
20,,hamilton_02
21,,hamilton_02
22,,hamilton_02
23,,hamilton_02
24,,hamilton_02
25,,hamilton_02
26,,hamilton_02
27,,hamilton_02
28,,hamilton_02
29,,hamilton_02
30,,hamilton_02
1,0.30399762141086467,hamilton_13
2,0.7778816005349464,hamilton_13
3,0.802733614050898,hamilton_13
4,0.7740904908925508,hamilton_13
5,0.9402109996154996,hamilton_13
6,0.9449670998082448,hamilton_13
7,0.9418920404651953,hamilton_13
8,0.9371543029575289,hamilton_13
9,0.9250346648499415,hamilton_13
10,0.9549302655095213,hamilton_13
11,0.9578605908056271,hamilton_13
12,0.9508025846220081,hamilton_13
13,0.9449302991924833,hamilton_13
14,0.9676628224604074,hamilton_13
15,0.9726507528351405,hamilton_13
16,0.9649130201264438,hamilton_13
17,0.9693583580882488,hamilton_13
18,0.9744227237662116,hamilton_13
19,0.9761247317113643,hamilton_13
20,0.9776934583353418,hamilton_13
21,,hamilton_13
22,,hamilton_13
23,,hamilton_13
24,,hamilton_13
25,,hamilton_13
26,,hamilton_13
27,,hamilton_13
28,,hamilton_13
29,,hamilton_13
30,,hamilton_13
1,0.2676767676767676,hamilton_14
2,0.4283621571767732,hamilton_14
3,0.5683630874370612,hamilton_14
4,0.572946525321069,hamilton_14
5,0.5807285694595652,hamilton_14
6,0.5991025799543392,hamilton_14
7,0.6367670720045571,hamilton_14
8,0.6323885131325339,hamilton_14
9,0.6364342429115079,hamilton_14
10,0.6379945378043209,hamilton_14
11,,hamilton_14
12,,hamilton_14
13,,hamilton_14
14,,hamilton_14
15,,hamilton_14
16,,hamilton_14
17,,hamilton_14
18,,hamilton_14
19,,hamilton_14
20,,hamilton_14
21,,hamilton_14
22,,hamilton_14
23,,hamilton_14
24,,hamilton_14
25,,hamilton_14
26,,hamilton_14
27,,hamilton_14
28,,hamilton_14
29,,hamilton_14
30,,hamilton_14
1,,hamilton_23
2,0.6523224062164762,hamilton_23
3,0.45136953345038916,hamilton_23
4,0.6237895718109023,hamilton_23
5,0.8703741897007251,hamilton_23
6,0.6151502978627855,hamilton_23
7,0.9288228510104138,hamilton_23
8,0.685756321051346,hamilton_23
9,0.736615971504506,hamilton_23
10,0.6063344953884627,hamilton_23
11,0.5911109824823501,hamilton_23
12,0.9718034928056035,hamilton_23
13,0.9150855006191574,hamilton_23
14,0.6901791259850303,hamilton_23
15,0.6987415145974607,hamilton_23
16,0.6920224470177656,hamilton_23
17,0.9381791986413983,hamilton_23
18,0.8726858420579813,hamilton_23
19,0.9667282732846492,hamilton_23
20,0.9380123718409005,hamilton_23
21,0.9549108535076847,hamilton_23
22,0.8741808689863827,hamilton_23
23,0.8685265874905536,hamilton_23
24,0.9527133871845255,hamilton_23
25,0.8780461340313994,hamilton_23
26,0.8600374947858578,hamilton_23
27,0.970468990463508,hamilton_23
