n_best,neuron_id,score,session_name
1,1069,0.011007222148961304,hamilton_01
2,1069,0.028156400779295175,hamilton_01
3,1069,0.04878619025963138,hamilton_01
4,1069,0.08594521572599789,hamilton_01
5,1069,0.0999824038107843,hamilton_01
6,1069,0.1314035809244996,hamilton_01
7,1069,0.16204051657011725,hamilton_01
8,1069,0.16865829421034398,hamilton_01
9,1069,0.17087479000484987,hamilton_01
10,1069,0.19244951891813447,hamilton_01
11,1069,0.21629876467518638,hamilton_01
12,1069,0.2560457116628448,hamilton_01
13,1069,0.3468365049383501,hamilton_01
14,1069,0.4028563751629891,hamilton_01
15,1069,0.4940164400940189,hamilton_01
1,1070,0.057349583217660774,hamilton_01
2,1070,0.11452191683377907,hamilton_01
3,1070,0.19623707491694736,hamilton_01
4,1070,0.22828436897229457,hamilton_01
5,1070,0.2632703363408253,hamilton_01
6,1070,0.3079014143196228,hamilton_01
7,1070,0.3522431537036721,hamilton_01
8,1070,0.3972123836370144,hamilton_01
9,1070,0.4552996184590283,hamilton_01
10,1070,0.5213438448779456,hamilton_01
11,1070,0.5546185163767001,hamilton_01
12,1070,0.5718816540848062,hamilton_01
13,1070,0.6053096440435886,hamilton_01
14,1070,0.6050408176484272,hamilton_01
15,1070,0.6075283394359333,hamilton_01
1,1071,0.057950531772955505,hamilton_01
2,1071,0.13073695796246013,hamilton_01
3,1071,0.21171761392173746,hamilton_01
4,1071,0.25153887719853885,hamilton_01
5,1071,0.29043028961872663,hamilton_01
6,1071,0.3286408299550662,hamilton_01
7,1071,0.37846791774453925,hamilton_01
8,1071,0.41840878879359106,hamilton_01
9,1071,0.48494917904429735,hamilton_01
10,1071,0.5031680094118187,hamilton_01
11,1071,0.5600998703171359,hamilton_01
12,1071,0.5966154479555896,hamilton_01
13,1071,0.6162343491922604,hamilton_01
14,1071,0.6185573278156484,hamilton_01
15,1071,0.6216637401018084,hamilton_01
1,1072,0.022261936823745533,hamilton_01
2,1072,0.0721949100286523,hamilton_01
3,1072,0.15957116112012568,hamilton_01
4,1072,0.18325272939974252,hamilton_01
5,1072,0.22391918900569685,hamilton_01
6,1072,0.25930210958323185,hamilton_01
7,1072,0.3039320999080105,hamilton_01
8,1072,0.3608359071284532,hamilton_01
9,1072,0.43400275064262467,hamilton_01
10,1072,0.4846049310591458,hamilton_01
11,1072,0.529163275571175,hamilton_01
12,1072,0.5607675805338286,hamilton_01
13,1072,0.5954275364356144,hamilton_01
14,1072,0.6013954254333174,hamilton_01
15,1072,0.6042459680650599,hamilton_01
1,1074,0.005553625350137125,hamilton_01
2,1074,0.015160032883681129,hamilton_01
3,1074,0.03149470617555896,hamilton_01
4,1074,0.05478116158500226,hamilton_01
5,1074,0.1020139255363693,hamilton_01
6,1074,0.11941329060295236,hamilton_01
7,1074,0.1611443703241068,hamilton_01
8,1074,0.18492734879674735,hamilton_01
9,1074,0.21434286755701337,hamilton_01
10,1074,0.23126856876548008,hamilton_01
11,1074,0.24458762432585163,hamilton_01
12,1074,0.3016455546087798,hamilton_01
13,1074,0.33451764969281417,hamilton_01
14,1074,0.39251330459562717,hamilton_01
15,1074,0.5235628635040331,hamilton_01
1,1075,0.0036637217448080685,hamilton_01
2,1075,0.004915454272358022,hamilton_01
3,1075,0.010617873754589358,hamilton_01
4,1075,0.012125056196654226,hamilton_01
5,1075,0.01641161653215546,hamilton_01
6,1075,0.029813760565066506,hamilton_01
7,1075,0.030603130559193125,hamilton_01
8,1075,0.04698704083881864,hamilton_01
9,1075,0.050511732740507555,hamilton_01
10,1075,0.054731161668012084,hamilton_01
11,1075,0.08722764056388874,hamilton_01
12,1075,0.10510886269137246,hamilton_01
13,1075,0.14380603242050963,hamilton_01
14,1075,0.26016753303772966,hamilton_01
15,1075,0.32408082527444804,hamilton_01
1,1076,0.0027481006946110664,hamilton_01
2,1076,0.013056262470392243,hamilton_01
3,1076,0.02516441437073207,hamilton_01
4,1076,0.0556604140125845,hamilton_01
5,1076,0.07183869495890131,hamilton_01
6,1076,0.07675727974464223,hamilton_01
7,1076,0.09941254416085461,hamilton_01
8,1076,0.09784374116782317,hamilton_01
9,1076,0.11844263091672243,hamilton_01
10,1076,0.13492722334179008,hamilton_01
11,1076,0.1779037964315013,hamilton_01
12,1076,0.26023700369098046,hamilton_01
13,1076,0.3815469867285836,hamilton_01
