n_best,neuron_id,score,session_name
1,1069,0.08374359451935318,hamilton_01
2,1069,0.12506188921734235,hamilton_01
3,1069,0.13053748763820472,hamilton_01
4,1069,0.15851957384834786,hamilton_01
5,1069,0.17402273511003116,hamilton_01
6,1069,0.1765771526736362,hamilton_01
7,1069,0.16135939381121983,hamilton_01
8,1069,0.17112033284795142,hamilton_01
9,1069,0.16646668742060453,hamilton_01
10,1069,0.18642350234363747,hamilton_01
11,1069,0.17887753582020754,hamilton_01
12,1069,0.18405050541704693,hamilton_01
13,1069,0.17705397005770743,hamilton_01
14,1069,0.1818536197071656,hamilton_01
15,1069,0.18993747304733974,hamilton_01
1,1070,0.31055219095977243,hamilton_01
2,1070,0.3444055489364598,hamilton_01
3,1070,0.4214987515996055,hamilton_01
4,1070,0.44217702149256705,hamilton_01
5,1070,0.44654177516329485,hamilton_01
6,1070,0.4556882519361832,hamilton_01
7,1070,0.47107496127560616,hamilton_01
8,1070,0.46936160509765773,hamilton_01
9,1070,0.4685927466523242,hamilton_01
10,1070,0.46860326547264125,hamilton_01
11,1070,0.47595674276280436,hamilton_01
12,1070,0.4958210815373085,hamilton_01
13,1070,0.494605567113976,hamilton_01
14,1070,0.4966200326185132,hamilton_01
15,1070,0.4931949720037558,hamilton_01
1,1071,0.1290321450507818,hamilton_01
2,1071,0.112084186534542,hamilton_01
3,1071,0.11950260144277455,hamilton_01
4,1071,0.13880927175422691,hamilton_01
5,1071,0.1377423882436911,hamilton_01
6,1071,0.14793765388685814,hamilton_01
7,1071,0.1474674401094675,hamilton_01
8,1071,0.14057585980246945,hamilton_01
9,1071,0.14108441777957986,hamilton_01
10,1071,0.16295404318249052,hamilton_01
11,1071,0.13648189779538003,hamilton_01
12,1071,0.14354247003935816,hamilton_01
13,1071,0.14626795247360383,hamilton_01
14,1071,0.13460861834803522,hamilton_01
15,1071,0.14991983504833986,hamilton_01
1,1072,0.31113571986773275,hamilton_01
2,1072,0.38696569010759996,hamilton_01
3,1072,0.39827627722116243,hamilton_01
4,1072,0.4056301869546425,hamilton_01
5,1072,0.4125905429614963,hamilton_01
6,1072,0.4198516580036082,hamilton_01
7,1072,0.42457849390474733,hamilton_01
8,1072,0.450454201120538,hamilton_01
9,1072,0.4426321377738627,hamilton_01
10,1072,0.4569828007546974,hamilton_01
11,1072,0.4495857619011801,hamilton_01
12,1072,0.4541382355626985,hamilton_01
13,1072,0.4574897873250083,hamilton_01
14,1072,0.44928180041203064,hamilton_01
15,1072,0.44678659590333947,hamilton_01
1,1074,0.4399495676779711,hamilton_01
2,1074,0.4595351074121761,hamilton_01
3,1074,0.4550597640460502,hamilton_01
4,1074,0.46382836101096503,hamilton_01
5,1074,0.45382179783463455,hamilton_01
6,1074,0.4968504862394122,hamilton_01
7,1074,0.5172604131068691,hamilton_01
8,1074,0.5587526403427964,hamilton_01
9,1074,0.5529268890365594,hamilton_01
10,1074,0.5488067719844929,hamilton_01
11,1074,0.5702013583526447,hamilton_01
12,1074,0.5830315885231497,hamilton_01
13,1074,0.5887818140638117,hamilton_01
14,1074,0.5881085688516184,hamilton_01
15,1074,0.5917653792164165,hamilton_01
1,1075,0.3271594910250015,hamilton_01
2,1075,0.4643656859664128,hamilton_01
3,1075,0.48781090909699387,hamilton_01
4,1075,0.47898711296797847,hamilton_01
5,1075,0.4792839564569239,hamilton_01
6,1075,0.4976912753854258,hamilton_01
7,1075,0.4881027510837879,hamilton_01
8,1075,0.5035867571056297,hamilton_01
9,1075,0.508219267928358,hamilton_01
10,1075,0.5323841176591775,hamilton_01
11,1075,0.5296348198171799,hamilton_01
12,1075,0.5247325696361587,hamilton_01
13,1075,0.5426168302542363,hamilton_01
14,1075,0.5439674044267393,hamilton_01
15,1075,0.5520593983066071,hamilton_01
1,1076,0.42783935926309813,hamilton_01
2,1076,0.48371937349186106,hamilton_01
3,1076,0.4984057457510593,hamilton_01
4,1076,0.5210342239733319,hamilton_01
5,1076,0.5449746570176186,hamilton_01
6,1076,0.5407410690217995,hamilton_01
7,1076,0.5611999095791378,hamilton_01
8,1076,0.5617249873377926,hamilton_01
9,1076,0.5634721384002704,hamilton_01
10,1076,0.5616931413759627,hamilton_01
11,1076,0.5722029522473571,hamilton_01
12,1076,0.5670114587250874,hamilton_01
13,1076,0.5663282663727092,hamilton_01
14,1076,0.5678685306309814,hamilton_01
15,1076,0.5614390598448481,hamilton_01
1,1077,0.7485066833640842,hamilton_01
