n_best,neuron_id,score,session_name
1,1069,0.010225930487338487,hamilton_01
2,1069,0.02787096829539082,hamilton_01
3,1069,0.05032833556784146,hamilton_01
4,1069,0.08721472141700089,hamilton_01
5,1069,0.10419058509279548,hamilton_01
6,1069,0.12962849000621104,hamilton_01
7,1069,0.161666202596563,hamilton_01
8,1069,0.16522749566878062,hamilton_01
9,1069,0.1760949969766176,hamilton_01
10,1069,0.19872307847210813,hamilton_01
11,1069,0.23281295571796426,hamilton_01
12,1069,0.2661691612888114,hamilton_01
13,1069,0.33672275094211174,hamilton_01
14,1069,0.45169189301822676,hamilton_01
15,1069,0.5210813963631662,hamilton_01
1,1070,0.056793351084453915,hamilton_01
2,1070,0.10862704582933247,hamilton_01
3,1070,0.19618750967294707,hamilton_01
4,1070,0.2232474720165162,hamilton_01
5,1070,0.26136606605575763,hamilton_01
6,1070,0.3079419630930506,hamilton_01
7,1070,0.35196250519709277,hamilton_01
8,1070,0.403713587437703,hamilton_01
9,1070,0.4605062379429091,hamilton_01
10,1070,0.5223678545204709,hamilton_01
11,1070,0.5557051226645628,hamilton_01
12,1070,0.5764318059011474,hamilton_01
13,1070,0.5968575036840338,hamilton_01
14,1070,0.6044162351026834,hamilton_01
15,1070,0.6067937051472659,hamilton_01
1,1071,0.05792861637256837,hamilton_01
2,1071,0.1297437126741014,hamilton_01
3,1071,0.21106453879487796,hamilton_01
4,1071,0.2515905221289782,hamilton_01
5,1071,0.2820622491511508,hamilton_01
6,1071,0.3236290969209152,hamilton_01
7,1071,0.38701839287776385,hamilton_01
8,1071,0.4315607839627759,hamilton_01
9,1071,0.45461988758351835,hamilton_01
10,1071,0.5082137818650245,hamilton_01
11,1071,0.5541232788734631,hamilton_01
12,1071,0.5981668222868034,hamilton_01
13,1071,0.6130948160304984,hamilton_01
14,1071,0.6188150437577743,hamilton_01
15,1071,0.6177535576779175,hamilton_01
1,1072,0.022281759123872202,hamilton_01
2,1072,0.06397064893840196,hamilton_01
3,1072,0.15971712865096246,hamilton_01
4,1072,0.19490893975294626,hamilton_01
5,1072,0.21842882686729048,hamilton_01
6,1072,0.25684392577675397,hamilton_01
7,1072,0.30951033587707605,hamilton_01
8,1072,0.3595781453906966,hamilton_01
9,1072,0.435885866781162,hamilton_01
10,1072,0.49409006566201014,hamilton_01
11,1072,0.5226860614819324,hamilton_01
12,1072,0.5569295841111039,hamilton_01
13,1072,0.5989368199564316,hamilton_01
14,1072,0.5999824937224743,hamilton_01
15,1072,0.6019454868680676,hamilton_01
1,1074,0.005198391349659404,hamilton_01
2,1074,0.015072362637539482,hamilton_01
3,1074,0.029871082528190106,hamilton_01
4,1074,0.05905627958606645,hamilton_01
5,1074,0.10145921900864882,hamilton_01
6,1074,0.12824580762521803,hamilton_01
7,1074,0.15845979963880505,hamilton_01
8,1074,0.18138394464545943,hamilton_01
9,1074,0.2169431889497358,hamilton_01
10,1074,0.23237585650307196,hamilton_01
11,1074,0.27749673469234076,hamilton_01
12,1074,0.3052204864486,hamilton_01
13,1074,0.39726816827210737,hamilton_01
14,1074,0.43381653780409424,hamilton_01
15,1074,0.5226428294693817,hamilton_01
1,1075,0.004612166251441963,hamilton_01
2,1075,0.0051150602478439835,hamilton_01
3,1075,0.007076433141434113,hamilton_01
4,1075,0.01608142091546283,hamilton_01
5,1075,0.023263110002110076,hamilton_01
6,1075,0.002400231360648464,hamilton_01
7,1075,0.04155654332116789,hamilton_01
8,1075,0.036324076445691245,hamilton_01
9,1075,0.04778911610877619,hamilton_01
10,1075,0.05478309151568874,hamilton_01
11,1075,0.07515390272327949,hamilton_01
12,1075,0.11271210111080361,hamilton_01
13,1075,0.09691081498875112,hamilton_01
14,1075,0.26917586326599263,hamilton_01
15,1075,0.33292162986839074,hamilton_01
1,1076,0.002313094312694397,hamilton_01
2,1076,0.012047843233041911,hamilton_01
3,1076,0.023970640536566657,hamilton_01
4,1076,0.05613546899315973,hamilton_01
5,1076,0.06769879727651067,hamilton_01
6,1076,0.07267838151120609,hamilton_01
7,1076,0.09749872423325949,hamilton_01
8,1076,0.1055628617220948,hamilton_01
9,1076,0.10548300359915289,hamilton_01
10,1076,0.13551461143566487,hamilton_01
11,1076,0.15066191753925026,hamilton_01
12,1076,0.23881633510599248,hamilton_01
13,1076,0.36276621511036955,hamilton_01
14,1076,0.4309716087724212,hamilton_01
15,1076,0.45911512357678097,hamilton_01
1,1077,0.008062028750310568,hamilton_01
2,1077,0.012766943031794287,hamilton_01
3,1077,0.023973148192581138,hamilton_01
4,1077,0.053165325242013985,hamilton_01
5,1077,0.06834023845580042,hamilton_01
6,1077,0.08798410338574918,hamilton_01
7,1077,0.11176588398802287,hamilton_01
8,1077,0.14749089295948797,hamilton_01
9,1077,0.17136722523171033,hamilton_01
10,1077,0.19100057028465806,hamilton_01
11,1077,0.21165212739326916,hamilton_01
12,1077,0.2390872725015413,hamilton_01
13,1077,0.24350057762709348,hamilton_01
14,1077,0.36314402396770806,hamilton_01
15,1077,0.37905066231622103,hamilton_01
1,1078,0.00392707902137106,hamilton_01
2,1078,0.010497777133218422,hamilton_01
3,1078,0.020225259360517844,hamilton_01
4,1078,0.030538746455274678,hamilton_01
5,1078,0.04426292509993133,hamilton_01
6,1078,0.06238004691277825,hamilton_01
7,1078,0.07238262040756907,hamilton_01
8,1078,0.10048047603459631,hamilton_01
9,1078,0.13220963257870857,hamilton_01
10,1078,0.15873451912621303,hamilton_01
11,1078,0.17687181123807127,hamilton_01
12,1078,0.2234655537747617,hamilton_01
13,1078,0.25679780587937956,hamilton_01
14,1078,0.30817398971736426,hamilton_01
15,1078,0.39727423339883716,hamilton_01
1,1079,-0.003066172614797269,hamilton_01
2,1079,-0.006823562568745123,hamilton_01
3,1079,-0.00544624200959305,hamilton_01
4,1079,-0.0035352706829917756,hamilton_01
5,1079,-0.006610050179243876,hamilton_01
6,1079,-0.002792466257810533,hamilton_01
7,1079,0.0001872542008681588,hamilton_01
8,1079,-0.0010828428068443419,hamilton_01
9,1079,0.0013115757984769826,hamilton_01
10,1079,-0.0006674536978799273,hamilton_01
11,1079,0.007300786035931694,hamilton_01
12,1079,0.010196357054601469,hamilton_01
13,1079,0.0033666131256999245,hamilton_01
14,1079,0.027935076132195036,hamilton_01
15,1079,0.061359279283465205,hamilton_01
1,1080,0.005753560535440361,hamilton_01
2,1080,0.01567733081166367,hamilton_01
3,1080,0.036485796506367386,hamilton_01
4,1080,0.05123926795071496,hamilton_01
5,1080,0.09930482070837916,hamilton_01
6,1080,0.10740421720411011,hamilton_01
7,1080,0.13292697328784392,hamilton_01
8,1080,0.1545909499603997,hamilton_01
9,1080,0.1756955342374374,hamilton_01
10,1080,0.20757183837603174,hamilton_01
11,1080,0.23208156976790267,hamilton_01
12,1080,0.25829391204684465,hamilton_01
13,1080,0.34576449321194225,hamilton_01
14,1080,0.41082162800534744,hamilton_01
15,1080,0.5201038545503509,hamilton_01
1,1081,-0.0006391766668806476,hamilton_01
2,1081,-0.0008292080769615407,hamilton_01
3,1081,-0.0008797709091311834,hamilton_01
4,1081,-0.0007600893797297559,hamilton_01
5,1081,-1.9376441322616068e-05,hamilton_01
6,1081,-0.0007220932850425354,hamilton_01
7,1081,0.0007350475181084892,hamilton_01
8,1081,0.00030322200916996775,hamilton_01
9,1081,-0.0018771910022634675,hamilton_01
10,1081,0.001332608449591266,hamilton_01
11,1081,0.0028669712353633246,hamilton_01
12,1081,0.001751613851127587,hamilton_01
13,1081,0.007763868278909602,hamilton_01
14,1081,0.017033625074176207,hamilton_01
15,1081,0.002626874079276487,hamilton_01
1,1082,0.044179002241649126,hamilton_01
2,1082,0.10134000345602523,hamilton_01
3,1082,0.1885321508605654,hamilton_01
4,1082,0.22401043177199012,hamilton_01
5,1082,0.2475337271697627,hamilton_01
6,1082,0.27635486174877416,hamilton_01
7,1082,0.3371361521004187,hamilton_01
8,1082,0.3820540869038082,hamilton_01
9,1082,0.45367809884119376,hamilton_01
10,1082,0.4810746495916298,hamilton_01
11,1082,0.5434853089702559,hamilton_01
12,1082,0.5940108154461777,hamilton_01
13,1082,0.5998488703057638,hamilton_01
14,1082,0.6040298193829331,hamilton_01
15,1082,0.6138055160958824,hamilton_01
1,1084,0.00014354110392151843,hamilton_01
2,1084,0.0001791100309557647,hamilton_01
3,1084,0.0052865610917152365,hamilton_01
4,1084,0.00947595645354431,hamilton_01
5,1084,0.009780548799788402,hamilton_01
6,1084,0.013282030625454789,hamilton_01
7,1084,0.014765414570183011,hamilton_01
8,1084,0.01910273796451778,hamilton_01
9,1084,0.02389124082930496,hamilton_01
10,1084,0.031792344899526,hamilton_01
11,1084,0.032625189555765724,hamilton_01
12,1084,0.040109632787212336,hamilton_01
13,1084,0.10065979337666804,hamilton_01
14,1084,0.15051842082015848,hamilton_01
15,1084,0.2969984517405787,hamilton_01
1,1085,0.00728124053853405,hamilton_01
2,1085,0.01618299717059124,hamilton_01
3,1085,0.034572936239138506,hamilton_01
4,1085,0.06173465607638817,hamilton_01
5,1085,0.08862934182338897,hamilton_01
6,1085,0.1021991757366997,hamilton_01
7,1085,0.12684505376435493,hamilton_01
8,1085,0.1538599561579429,hamilton_01
9,1085,0.21687742568212548,hamilton_01
10,1085,0.308193991346406,hamilton_01
11,1085,0.3293854448542187,hamilton_01
12,1085,0.38950324397713365,hamilton_01
13,1085,0.4246516698012398,hamilton_01
14,1085,0.4720530876620449,hamilton_01
15,1085,0.5088244269889076,hamilton_01
1,1086,0.0006357734346518207,hamilton_01
2,1086,0.0044137413074925025,hamilton_01
3,1086,0.007543486674811128,hamilton_01
4,1086,0.01691108764225855,hamilton_01
5,1086,0.03978540755615956,hamilton_01
6,1086,0.045594044889460596,hamilton_01
7,1086,0.05044556491554011,hamilton_01
8,1086,0.0567517270793886,hamilton_01
9,1086,0.07254695162063078,hamilton_01
10,1086,0.09547203090629001,hamilton_01
11,1086,0.11332906619126679,hamilton_01
12,1086,0.12135157938675341,hamilton_01
13,1086,0.21746972792759892,hamilton_01
14,1086,0.2301571664515027,hamilton_01
15,1086,0.31600167906325183,hamilton_01
1,1087,-0.0014678541856109062,hamilton_01
2,1087,-0.003473379931403997,hamilton_01
3,1087,0.00013350041159783111,hamilton_01
4,1087,-0.004044049697723029,hamilton_01
5,1087,-0.00029574524641506894,hamilton_01
6,1087,0.0010344785066976447,hamilton_01
7,1087,-0.0006030336762236299,hamilton_01
8,1087,0.0028473741201432423,hamilton_01
9,1087,0.0013098416879290032,hamilton_01
10,1087,-0.0008970568108637167,hamilton_01
11,1087,0.0022391795502255006,hamilton_01
12,1087,0.0028597904031419487,hamilton_01
13,1087,0.010846072033926823,hamilton_01
14,1087,0.030516771678412536,hamilton_01
15,1087,0.054771952961693016,hamilton_01
