n_best,neuron_id,score,session_name
1,1069,0.05390657264861034,hamilton_01
2,1069,0.09553174924486632,hamilton_01
3,1069,0.10049435771070617,hamilton_01
4,1069,0.11004541575447221,hamilton_01
5,1069,0.08810279263397529,hamilton_01
6,1069,0.10992499868955981,hamilton_01
7,1069,0.10196106957988194,hamilton_01
8,1069,0.11559783522731752,hamilton_01
9,1069,0.142681468577969,hamilton_01
10,1069,0.1327705634751487,hamilton_01
11,1069,0.13992214552430673,hamilton_01
12,1069,0.14449105223748848,hamilton_01
13,1069,0.13924126919449645,hamilton_01
14,1069,0.13659440437012835,hamilton_01
15,1069,0.13340208673126247,hamilton_01
1,1070,0.358793105918423,hamilton_01
2,1070,0.4484978028471994,hamilton_01
3,1070,0.47600814536005187,hamilton_01
4,1070,0.47140467046941953,hamilton_01
5,1070,0.4661121728586709,hamilton_01
6,1070,0.4657913747741816,hamilton_01
7,1070,0.46190181597982427,hamilton_01
8,1070,0.4713393152379666,hamilton_01
9,1070,0.4800300498657517,hamilton_01
10,1070,0.49458985976794134,hamilton_01
11,1070,0.5121394450698735,hamilton_01
12,1070,0.49641535585419494,hamilton_01
13,1070,0.5044596473902627,hamilton_01
14,1070,0.4850016697216345,hamilton_01
15,1070,0.4995322175586585,hamilton_01
1,1071,0.17091190400208592,hamilton_01
2,1071,0.18533488013164617,hamilton_01
3,1071,0.18774697544339064,hamilton_01
4,1071,0.1969138431521218,hamilton_01
5,1071,0.21124585745022467,hamilton_01
6,1071,0.21214217900520746,hamilton_01
7,1071,0.21300447139455408,hamilton_01
8,1071,0.22089639095620628,hamilton_01
9,1071,0.20178921659967658,hamilton_01
10,1071,0.20698284696510796,hamilton_01
11,1071,0.19434271325215877,hamilton_01
12,1071,0.21544803509569216,hamilton_01
13,1071,0.20336197776708742,hamilton_01
14,1071,0.2059412810544364,hamilton_01
15,1071,0.2106265481737275,hamilton_01
1,1072,0.060105478844811634,hamilton_01
2,1072,0.0629729707380036,hamilton_01
3,1072,0.06268196792087724,hamilton_01
4,1072,0.06556921291330345,hamilton_01
5,1072,0.07530667628444876,hamilton_01
6,1072,0.08534011878751864,hamilton_01
7,1072,0.06748771093767907,hamilton_01
8,1072,0.07161630961509151,hamilton_01
9,1072,0.08563413529489053,hamilton_01
10,1072,0.09579693157412925,hamilton_01
11,1072,0.07137657076939743,hamilton_01
12,1072,0.06792809148105776,hamilton_01
13,1072,0.10641220416042589,hamilton_01
14,1072,0.07977632043760918,hamilton_01
15,1072,0.08594961984981142,hamilton_01
1,1074,0.1548618053707312,hamilton_01
2,1074,0.14935408254026367,hamilton_01
3,1074,0.23136723726807285,hamilton_01
4,1074,0.22950227222327185,hamilton_01
5,1074,0.22084241297553886,hamilton_01
6,1074,0.3094657611659171,hamilton_01
7,1074,0.3425438422058639,hamilton_01
8,1074,0.3440679632190105,hamilton_01
9,1074,0.36436247642681335,hamilton_01
10,1074,0.3679287807827345,hamilton_01
11,1074,0.34942558173870697,hamilton_01
12,1074,0.35739352345783787,hamilton_01
13,1074,0.36042062630754607,hamilton_01
14,1074,0.361335572617503,hamilton_01
15,1074,0.37386179617385135,hamilton_01
1,1075,0.26149315597655065,hamilton_01
2,1075,0.296445944926004,hamilton_01
3,1075,0.3065905700874676,hamilton_01
4,1075,0.3353209336701094,hamilton_01
5,1075,0.34781994523954146,hamilton_01
6,1075,0.3638050901323099,hamilton_01
7,1075,0.3919410495897761,hamilton_01
8,1075,0.3946935554750922,hamilton_01
9,1075,0.3903181290483421,hamilton_01
10,1075,0.3834652887358653,hamilton_01
11,1075,0.4013109780832499,hamilton_01
12,1075,0.39689878869584194,hamilton_01
13,1075,0.39362689811335655,hamilton_01
