neuron_id,ensemble,sig,ensemble_orig,session_name,block,bin_width,ensemble_id
1069,0,True,0,hamilton_01,pre,1.0,82
1070,0,True,0,hamilton_01,pre,1.0,82
1074,0,True,0,hamilton_01,pre,1.0,82
1075,0,True,0,hamilton_01,pre,1.0,82
1078,0,True,0,hamilton_01,pre,1.0,82
1079,0,True,0,hamilton_01,pre,1.0,82
1082,0,True,0,hamilton_01,pre,1.0,82
1084,0,True,0,hamilton_01,pre,1.0,82
1071,-1,False,1,hamilton_01,pre,1.0,-1
1076,-1,False,1,hamilton_01,pre,1.0,-1
1077,-1,False,1,hamilton_01,pre,1.0,-1
1080,-1,False,1,hamilton_01,pre,1.0,-1
1085,-1,False,1,hamilton_01,pre,1.0,-1
1072,2,True,2,hamilton_01,pre,1.0,84
1086,2,True,2,hamilton_01,pre,1.0,84
1087,2,True,2,hamilton_01,pre,1.0,84
1100,0,True,0,hamilton_02,pre,1.0,85
1108,0,True,0,hamilton_02,pre,1.0,85
1105,0,True,0,hamilton_02,pre,1.0,85
1098,0,True,0,hamilton_02,pre,1.0,85
1104,-1,False,1,hamilton_02,pre,1.0,-1
1103,-1,False,1,hamilton_02,pre,1.0,-1
1102,-1,False,1,hamilton_02,pre,1.0,-1
1110,-1,False,1,hamilton_02,pre,1.0,-1
1111,-1,False,1,hamilton_02,pre,1.0,-1
1095,-1,False,1,hamilton_02,pre,1.0,-1
1096,-1,False,2,hamilton_02,pre,1.0,-1
1094,-1,False,2,hamilton_02,pre,1.0,-1
1093,-1,False,2,hamilton_02,pre,1.0,-1
1106,-1,False,2,hamilton_02,pre,1.0,-1
1107,-1,False,2,hamilton_02,pre,1.0,-1
1089,-1,False,2,hamilton_02,pre,1.0,-1
1099,-1,False,2,hamilton_02,pre,1.0,-1
1088,-1,False,2,hamilton_02,pre,1.0,-1
1148,0,True,0,hamilton_13,pre,1.0,87
1157,0,True,0,hamilton_13,pre,1.0,87
1159,0,True,0,hamilton_13,pre,1.0,87
1145,-1,False,1,hamilton_13,pre,1.0,-1
1150,-1,False,1,hamilton_13,pre,1.0,-1
1151,-1,False,1,hamilton_13,pre,1.0,-1
1152,-1,False,1,hamilton_13,pre,1.0,-1
1153,-1,False,1,hamilton_13,pre,1.0,-1
1154,-1,False,1,hamilton_13,pre,1.0,-1
1143,-1,False,2,hamilton_13,pre,1.0,-1
1144,-1,False,2,hamilton_13,pre,1.0,-1
1146,-1,False,2,hamilton_13,pre,1.0,-1
1149,-1,False,2,hamilton_13,pre,1.0,-1
1158,-1,False,2,hamilton_13,pre,1.0,-1
1170,-1,False,0,hamilton_14,pre,1.0,-1
1171,-1,False,0,hamilton_14,pre,1.0,-1
1174,-1,False,0,hamilton_14,pre,1.0,-1
1165,-1,False,1,hamilton_14,pre,1.0,-1
1166,-1,False,1,hamilton_14,pre,1.0,-1
1168,-1,False,1,hamilton_14,pre,1.0,-1
1172,-1,False,1,hamilton_14,pre,1.0,-1
1167,-1,False,2,hamilton_14,pre,1.0,-1
1173,-1,False,2,hamilton_14,pre,1.0,-1
1175,-1,False,2,hamilton_14,pre,1.0,-1
1247,0,True,0,hamilton_23,pre,1.0,90
1296,0,True,0,hamilton_23,pre,1.0,90
1299,0,True,0,hamilton_23,pre,1.0,90
1301,0,True,0,hamilton_23,pre,1.0,90
1302,0,True,0,hamilton_23,pre,1.0,90
1348,0,True,0,hamilton_23,pre,1.0,90
1304,0,True,0,hamilton_23,pre,1.0,90
1305,0,True,0,hamilton_23,pre,1.0,90
1306,0,True,0,hamilton_23,pre,1.0,90
1310,0,True,0,hamilton_23,pre,1.0,90
1311,0,True,0,hamilton_23,pre,1.0,90
1317,0,True,0,hamilton_23,pre,1.0,90
1318,0,True,0,hamilton_23,pre,1.0,90
1319,0,True,0,hamilton_23,pre,1.0,90
1322,0,True,0,hamilton_23,pre,1.0,90
1293,0,True,0,hamilton_23,pre,1.0,90
1323,0,True,0,hamilton_23,pre,1.0,90
1327,0,True,0,hamilton_23,pre,1.0,90
1328,0,True,0,hamilton_23,pre,1.0,90
1329,0,True,0,hamilton_23,pre,1.0,90
1332,0,True,0,hamilton_23,pre,1.0,90
1333,0,True,0,hamilton_23,pre,1.0,90
1334,0,True,0,hamilton_23,pre,1.0,90
1335,0,True,0,hamilton_23,pre,1.0,90
1336,0,True,0,hamilton_23,pre,1.0,90
1337,0,True,0,hamilton_23,pre,1.0,90
1340,0,True,0,hamilton_23,pre,1.0,90
1342,0,True,0,hamilton_23,pre,1.0,90
1343,0,True,0,hamilton_23,pre,1.0,90
1345,0,True,0,hamilton_23,pre,1.0,90
1346,0,True,0,hamilton_23,pre,1.0,90
1325,0,True,0,hamilton_23,pre,1.0,90
1292,0,True,0,hamilton_23,pre,1.0,90
1303,0,True,0,hamilton_23,pre,1.0,90
1289,0,True,0,hamilton_23,pre,1.0,90
1250,0,True,0,hamilton_23,pre,1.0,90
1251,0,True,0,hamilton_23,pre,1.0,90
1255,0,True,0,hamilton_23,pre,1.0,90
1258,0,True,0,hamilton_23,pre,1.0,90
1264,0,True,0,hamilton_23,pre,1.0,90
1265,0,True,0,hamilton_23,pre,1.0,90
1291,0,True,0,hamilton_23,pre,1.0,90
1274,0,True,0,hamilton_23,pre,1.0,90
1278,0,True,0,hamilton_23,pre,1.0,90
1349,0,True,0,hamilton_23,pre,1.0,90
1288,0,True,0,hamilton_23,pre,1.0,90
1283,0,True,0,hamilton_23,pre,1.0,90
1286,0,True,0,hamilton_23,pre,1.0,90
1279,1,True,1,hamilton_23,pre,1.0,91
1284,1,True,1,hamilton_23,pre,1.0,91
1285,1,True,1,hamilton_23,pre,1.0,91
1263,1,True,1,hamilton_23,pre,1.0,91
1261,1,True,1,hamilton_23,pre,1.0,91
1338,1,True,1,hamilton_23,pre,1.0,91
1260,1,True,1,hamilton_23,pre,1.0,91
1266,1,True,1,hamilton_23,pre,1.0,91
1341,1,True,1,hamilton_23,pre,1.0,91
1287,1,True,1,hamilton_23,pre,1.0,91
1344,1,True,1,hamilton_23,pre,1.0,91
1294,1,True,1,hamilton_23,pre,1.0,91
1347,1,True,1,hamilton_23,pre,1.0,91
1339,1,True,1,hamilton_23,pre,1.0,91
1267,1,True,1,hamilton_23,pre,1.0,91
1331,1,True,1,hamilton_23,pre,1.0,91
1330,1,True,1,hamilton_23,pre,1.0,91
1312,1,True,1,hamilton_23,pre,1.0,91
1314,1,True,1,hamilton_23,pre,1.0,91
1315,1,True,1,hamilton_23,pre,1.0,91
1316,1,True,1,hamilton_23,pre,1.0,91
1281,1,True,1,hamilton_23,pre,1.0,91
1277,1,True,1,hamilton_23,pre,1.0,91
1276,1,True,1,hamilton_23,pre,1.0,91
1320,1,True,1,hamilton_23,pre,1.0,91
1321,1,True,1,hamilton_23,pre,1.0,91
1282,1,True,1,hamilton_23,pre,1.0,91
1273,1,True,1,hamilton_23,pre,1.0,91
1326,1,True,1,hamilton_23,pre,1.0,91
1271,1,True,1,hamilton_23,pre,1.0,91
1270,1,True,1,hamilton_23,pre,1.0,91
1269,1,True,1,hamilton_23,pre,1.0,91
1280,1,True,1,hamilton_23,pre,1.0,91
1272,1,True,1,hamilton_23,pre,1.0,91
1380,-1,False,0,hamilton_07,pre,1.0,-1
1408,-1,False,0,hamilton_07,pre,1.0,-1
1406,-1,False,0,hamilton_07,pre,1.0,-1
1401,-1,False,0,hamilton_07,pre,1.0,-1
1399,-1,False,0,hamilton_07,pre,1.0,-1
1398,-1,False,0,hamilton_07,pre,1.0,-1
1389,-1,False,0,hamilton_07,pre,1.0,-1
1379,-1,False,0,hamilton_07,pre,1.0,-1
1369,-1,False,0,hamilton_07,pre,1.0,-1
1367,-1,False,0,hamilton_07,pre,1.0,-1
1366,-1,False,0,hamilton_07,pre,1.0,-1
1363,-1,False,0,hamilton_07,pre,1.0,-1
1413,-1,False,0,hamilton_07,pre,1.0,-1
1361,-1,False,0,hamilton_07,pre,1.0,-1
