ensemble_orig,size,average_degree,average_weight,average_weight_out,volume,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,modularity,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,block,bin_width,ensemble_id,prop_total,prop_total_SIR,comp_SIR,prop_total_SR,comp_SR,neuron_type_entropy,prop_total_FF,comp_FF,response_fs_entropy
0,8,1.7011353493440502,0.2430193356205786,0.0966076966811395,15.058198244969493,0.4275185782162681,0.2430193356205786,1.4491154502170938,0.3312842594323989,0.1811394312771367,0.1957512720724673,0.0,1.0,0.02,0.16,0.0,0,hamilton_01,pre,1.0,82,0.47058823529411764,0.3333333333333333,0.75,0.18181818181818182,0.25,0.8112781244591328,,,1.5
1,5,0.2215975099983144,0.0615548638884206,0.0846985335534849,2.801958221061272,0.7064261360725334,0.0553993774995786,1.6939706710696996,0.6045667127856353,0.3387941342139399,0.1957512720724673,0.9866666666666668,1.0,0.8,0.8933333333333333,0.1066666666666666,-1,hamilton_01,pre,1.0,-1,0.5882352941176471,0.2222222222222222,0.4,0.7272727272727273,0.8,1.4565647621309543,0.75,0.3,1.446736640324385
2,3,0.4288939228706186,0.2144469614353093,0.0407993939855435,1.5722775265106608,0.1976352864073894,0.2144469614353093,0.2855957578988047,0.1816446225830273,0.0951985859662682,0.1957512720724673,0.9866666666666668,1.0,0.0,0.0,0.0,2,hamilton_01,pre,1.0,84,0.17647058823529413,0.1111111111111111,0.6666666666666666,,,0.9182958340544894,0.25,0.3333333333333333,1.0
0,4,0.4498099865295497,0.1799239946118199,0.1119673875655897,3.478750759602045,0.5096182736412384,0.1499366621765165,1.6795108134838466,0.4827913609068031,0.4198777033709616,0.0568449896814844,0.9852941176470588,1.0,0.0,0.4558823529411764,0.0,0,hamilton_02,pre,1.0,85,0.21052631578947367,0.1111111111111111,0.5,0.10526315789473684,0.5,1.0,,,0.9182958340544894
0,3,0.4908845748871459,0.2454422874435729,0.0976521040269601,2.351522660904079,0.424185829555445,0.2454422874435729,0.8788689362426416,0.3737446169898898,0.2929563120808805,0.211714988591485,0.9166666666666666,1.0,0.0,0.5666666666666667,0.0,0,hamilton_13,pre,1.0,87,0.15789473684210525,0.2,0.3333333333333333,0.1,0.6666666666666666,0.9182958340544894,,,0.0
0,48,7.447281392524698,0.1780226627695147,0.0556528314169413,386.0194093580764,0.1916626316498732,0.1584527955856318,28.54990251689092,0.1177028725684129,0.839703015202674,0.3831160158071652,0.0,0.9908256880733946,0.0,0.0,0.0,0,hamilton_23,pre,1.0,90,0.5714285714285714,0.3157894736842105,0.5,0.2857142857142857,0.5,1.0,,,1.1730306695573631
1,34,6.294388081126432,0.2106389712187979,0.0556528314169413,242.55909727518963,0.1916626316498733,0.190739032761407,28.549902516890945,0.117702872568413,0.8397030152026748,0.3831160158071652,0.0,0.9908256880733946,0.0,0.0,0.0,1,hamilton_23,pre,1.0,91,0.40476190476190477,0.18421052631578946,0.4117647058823529,0.20238095238095238,0.5,1.336147408537819,0.5,0.08823529411764706,1.3787834934861756
1,8,1.0327382487452006,0.152998259073363,0.0719573076923594,17.688313297660688,0.5777262995645376,0.1475340355350286,9.426407307699082,0.5329172515813445,1.1783009134623852,0.1971114297559812,1.0,0.9894736842105264,0.0,0.2210526315789473,0.0,1,hamilton_07,pre,1.0,93,0.14545454545454545,0.029411764705882353,0.125,0.09230769230769231,0.75,1.061278124459133,0.1,0.125,1.4591479170272446
2,7,1.0693359840861674,0.1782226640143612,0.0753751570159982,12.912363193755048,0.4455207229686774,0.1782226640143612,5.427011305151873,0.420295744761625,0.7752873293074104,0.1971114297559812,1.0,0.9894736842105264,0.0,0.031578947368421,0.0,2,hamilton_07,pre,1.0,94,0.12727272727272726,0.029411764705882353,0.14285714285714285,0.09230769230769231,0.8571428571428571,0.5916727785823274,,,1.370950594454669
0,17,2.513884867598628,0.1656435765471964,0.0487144597955244,50.38421293707401,0.1706856191778393,0.1571178042249142,7.6481701878973345,0.1517969566667501,0.4498923639939609,0.1632373740577515,0.4945054945054945,1.0,0.0,0.0,0.0,0,hamilton_08,pre,1.0,95,0.2833333333333333,0.14285714285714285,0.5882352941176471,0.1590909090909091,0.4117647058823529,0.9774178175281716,,,1.5766212201074914
1,43,9.238600235120693,0.2356226631733035,0.0487144597955244,404.9079802980871,0.1706856191778393,0.2199666722647784,7.6481701878973345,0.1517969566667501,0.4498923639939609,0.1632373740577515,0.0,1.0,0.0,0.0,0.0,1,hamilton_08,pre,1.0,96,0.7166666666666667,0.35714285714285715,0.5813953488372093,0.3409090909090909,0.3488372093023256,1.2529007737565314,0.5,0.06976744186046512,0.6746799231474563
0,9,1.724252540655678,0.2282098950867809,0.0643925862121452,27.17333097029939,0.4671857922308685,0.2155315675819597,11.655058104398288,0.4289153257337988,1.2950064560442542,0.1678662009431808,0.9894736842105264,0.9578947368421052,0.0,0.0,0.0,0,hamilton_19,pre,1.0,97,0.16666666666666666,0.02631578947368421,0.1111111111111111,0.12962962962962962,0.7777777777777778,0.9864267287308426,0.0625,0.1111111111111111,0.9910760598382222
1,31,7.92481775223668,0.2849992463101358,0.0728186919474876,269.6995186620081,0.4765690228990301,0.2641605917412226,24.03016834267093,0.3874692408086292,1.0447899279422144,0.1678662009431808,0.0,0.9578947368421052,0.0,0.0,0.0,1,hamilton_19,pre,1.0,98,0.5740740740740741,0.4473684210526316,0.5483870967741935,0.18518518518518517,0.3225806451612903,1.3830302055439916,0.25,0.12903225806451613,1.0889252905968954
2,6,1.12044401862586,0.2240888037251719,0.0445069122478044,8.992516636393184,0.2594491055721762,0.2240888037251719,2.269852524638024,0.2524157159133642,0.3783087541063373,0.1678662009431808,0.9894736842105264,0.9578947368421052,0.0,0.0,0.0,2,hamilton_19,pre,1.0,99,0.1111111111111111,,,0.05555555555555555,0.5,1.0,0.1875,0.5,1.2516291673878228
3,8,1.4418384701445488,0.2306941552231278,0.0745713813061166,25.852412971930796,0.600635195590906,0.2059769243063641,14.317705210774411,0.5538247136280792,1.7897131513468014,0.1678662009431808,0.9894736842105264,0.9578947368421052,0.0,0.1578947368421052,0.0,3,hamilton_19,pre,1.0,100,0.14814814814814814,0.02631578947368421,0.125,0.12962962962962962,0.875,0.5435644431995964,,,0.6500224216483541
0,21,2.306166628658544,0.1330480747303006,0.0440892163988384,54.69016793046448,0.1805411873388774,0.1153083314329271,6.260668728635064,0.1144752149343399,0.2981270823159554,0.3802715513225683,0.0,0.95,0.0,0.0,0.0,0,hamilton_20,pre,1.0,101,0.4117647058823529,0.2,0.38095238095238093,0.20967741935483872,0.6190476190476191,0.9587118829771317,,,1.5090275125326515
1,30,2.950107470036284,0.1301518001486595,0.0440892163988385,94.76389282972352,0.1805411873388774,0.1017278437943546,6.260668728635063,0.1144752149343398,0.2981270823159554,0.3802715513225683,0.0,0.95,0.0,0.0,0.0,1,hamilton_20,pre,1.0,102,0.5882352941176471,0.3,0.4,0.2903225806451613,0.6,0.9709505944546688,,,1.5061046842206038
