ensemble_orig,size,average_degree,average_weight,average_weight_out,volume,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,modularity,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,block,bin_width,ensemble_id
0,11,0.12995517100053144,0.019854262236192306,0.004792934637848255,1.443885684919391,0.08196104182715401,0.012995517100053146,0.014378803913544763,0.07200263302531905,0.0028757607827089525,0.1959812374010042,0.0,0.9230769230769231,0.0,0.0,0.0,-1,hamilton_01,pre,0.05,-1
1,5,0.037063900614086334,0.018531950307043167,0.004792934637848254,0.19969830698397642,0.081961041827154,0.009265975153521584,0.014378803913544761,0.07200263302531905,0.002875760782708952,0.1959812374010042,0.8205128205128205,0.9230769230769231,0.0,0.0,0.0,-1,hamilton_01,pre,0.05,-1
0,11,0.23117782861630365,0.0508591222955868,0.025764044295690715,3.2643493550586804,0.7766171595691745,0.023117782861630364,0.72139324027934,0.555625727031044,0.10305617718276286,0.0929774868248064,0.0,0.7878787878787878,1.0,1.0,0.5757575757575757,-1,hamilton_02,pre,0.05,-1
1,3,0.023221215016563213,0.01741591126242241,0.017477632745519108,0.2619176052503998,0.7787267404281658,0.011610607508281606,0.19225396020071017,0.7340245800465018,0.06408465340023672,0.0929774868248064,1.0,1.0,1.0,1.0,0.18181818181818182,-1,hamilton_02,pre,0.05,-1
2,1,0.0,,0.007629265951207396,0.015258531902414793,1.003355415312412,,0.015258531902414793,1.0,0.015258531902414793,0.0929774868248064,1.0,0.0,1.0,1.0,0.0,-1,hamilton_02,pre,0.05,-1
3,3,0.13023247601272897,0.06511623800636449,0.027411751097671994,1.0211677032846427,0.7954235402488883,0.06511623800636449,0.6304702752464558,0.6174013075604655,0.21015675841548528,0.0929774868248064,0.9772727272727273,0.7878787878787878,1.0,1.0,1.0,-1,hamilton_02,pre,0.05,-1
0,7,0.14076755385564677,0.02737146880526465,0.013554323990641133,1.2971223287742735,0.5490565792127551,0.02346125897594113,0.31174945178474606,0.30871729519215213,0.044535635969249435,0.29666320953329456,0.08695652173913043,0.8115942028985508,0.043478260869565216,0.08695652173913043,0.043478260869565216,-1,hamilton_13,pre,0.05,-1
1,4,0.07555687076595113,0.02518562358865038,0.014387742642475243,0.5468191079858837,0.5862616158556941,0.02518562358865038,0.2445916249220791,0.4472989720915043,0.06114790623051977,0.29666320953329456,0.6521739130434783,0.8115942028985508,0.17391304347826086,0.37681159420289856,0.2608695652173913,-1,hamilton_13,pre,0.05,-1
2,3,0.11621808157185255,0.058109040785926276,0.011434843778394977,0.46300268249950743,0.308984489754247,0.058109040785926276,0.11434843778394976,0.24697143689674284,0.03811614592798326,0.29666320953329456,0.23913043478260868,0.17391304347826086,0.0,0.0,0.0,-1,hamilton_13,pre,0.05,-1
0,6,0.02291729934985703,0.02291729934985703,0.00985744675889572,0.16707613637582933,0.39969825466490133,0.004583459869971406,0.02957234027668716,0.2226990678380904,0.00739308506917179,0.2962270872823165,0.5,0.6071428571428571,0.7142857142857143,0.5535714285714286,0.5714285714285714,-1,hamilton_14,pre,0.05,-1
1,4,0.02580456205590198,0.01720304137060132,0.009857446758895718,0.13279058850029507,0.39969825466490133,0.00860152068530066,0.029572340276687155,0.22269906783809038,0.007393085069171789,0.2962270872823165,0.5,0.6964285714285714,0.7142857142857143,0.5535714285714286,0.5714285714285714,-1,hamilton_14,pre,0.05,-1
0,19,0.33301371292766474,0.021818139812502173,0.011550564529088687,11.813778696942757,0.537305182395174,0.018500761829314708,5.486518151317129,0.4644168722016914,0.2887641132272173,0.23734985501742806,0.6707317073170732,1.0,0.04065040650406505,0.027100271002710032,0.0,-1,hamilton_23,pre,0.05,-1
1,40,1.092349446070463,0.03231803094883027,0.014258886162869907,53.74649258764181,0.48854873624710593,0.028008960155652896,10.052514744823291,0.30151300124670305,0.2513128686205823,0.23734985501742806,0.0,0.867208672086721,0.0,0.0,0.0,-1,hamilton_23,pre,0.05,-1
2,2,0.2769598368569325,0.2769598368569325,0.013696985219432311,1.4853146686352618,0.6379497449153008,0.2769598368569325,0.9313949949213964,0.6270691420405763,0.4656974974606982,0.23734985501742806,0.8455284552845529,0.5081300813008129,0.1524390243902439,0.3008130081300813,0.010162601626016262,-1,hamilton_23,pre,0.05,-1
3,19,0.35081033059730116,0.02666158512539489,0.015520059482328515,17.467357681049364,0.773565850003482,0.019489462810961176,10.801961399700645,0.6184084391550462,0.5685242841947707,0.23734985501742806,0.6707317073170732,1.0,0.16260162601626016,0.3008130081300813,0.06504065040650407,-1,hamilton_23,pre,0.05,-1
4,2,0.9035931971255027,0.9035931971255027,0.010359445643836859,2.5737853718949326,0.30691962399369493,0.9035931971255027,0.7665989776439276,0.29784883619861596,0.3832994888219638,0.23734985501742806,0.3048780487804878,0.5081300813008129,0.0,0.0,0.0,-1,hamilton_23,pre,0.05,-1
0,30,0.5213136758124469,0.02466783954948487,0.013098426142136604,20.48582794696396,0.5020083619971362,0.01797633364870507,4.84641767259054,0.2654341954495356,0.2019340696912725,0.36455154276714585,0.7218045112781954,0.849624060150376,0.5413533834586466,0.0,0.0,-1,hamilton_07,pre,0.05,-1
1,7,0.11216378013840081,0.024535826905275178,0.010117988696086887,2.1611929236366225,0.6743211863455376,0.018693963356400136,1.3760464626678168,0.6367069073835177,0.1965780660954024,0.36455154276714585,1.0,0.849624060150376,0.924812030075188,0.9849624060150376,0.0,-1,hamilton_07,pre,0.05,-1
2,6,0.5588652004837475,0.12896889241932635,0.011556420682849526,5.051985043281365,0.38668348247743,0.11177304009674952,1.69879384037888,0.33626264247122145,0.2831323067298133,0.36455154276714585,0.7218045112781954,0.849624060150376,0.2706766917293233,0.24060150375939848,0.14661654135338345,-1,hamilton_07,pre,0.05,-1
3,2,0.48842015505514313,0.48842015505514313,0.013543555212829066,1.8436278437313462,0.49364296335405744,0.48842015505514313,0.8667875336210599,0.47015320178000536,0.43339376681052993,0.36455154276714585,0.7218045112781954,0.849624060150376,0.5413533834586466,0.7894736842105263,0.37593984962406013,-1,hamilton_07,pre,0.05,-1
4,6,0.20559590636319683,0.05139897659079921,0.014906175358610347,3.6036573201982263,0.7251335602200724,0.04111918127263937,2.370081882019045,0.657687918530687,0.39501364700317415,0.36455154276714585,1.0,0.849624060150376,0.924812030075188,0.9849624060150376,0.3157894736842105,-1,hamilton_07,pre,0.05,-1
5,3,1.659642940452233,0.8298214702261165,0.009379706588196856,5.597989456177691,0.12926286378490207,0.8298214702261165,0.6190606348209926,0.11058624523449663,0.20635354494033087,0.36455154276714585,0.0,0.849624060150376,0.0,0.0,0.0,-1,hamilton_07,pre,0.05,-1
0,2,0.5235885334440674,0.5235885334440674,0.028035102441780778,3.009634237812789,0.6848757758556846,0.5235885334440674,1.9624571709246545,0.6520583618662059,0.9812285854623273,0.21222572884518945,0.6744186046511629,0.41860465116279066,0.5038759689922481,0.8527131782945736,0.9612403100775194,-1,hamilton_08,pre,0.05,-1
1,34,1.0608350765138594,0.03954867609810441,0.019009826470184597,43.9004411071873,0.592613556640394,0.03214651747011696,7.832048505716049,0.41420877736737205,0.30123263483523266,0.21222572884518945,0.046511627906976744,1.0,0.24418604651162792,0.23255813953488372,0.0,-1,hamilton_08,pre,0.05,-1
2,14,0.18662157365861942,0.019793197206217212,0.011651555390258786,5.187695772467862,0.5410539067044698,0.014355505666047649,2.574993741247192,0.49636560318613876,0.18392812437479944,0.21222572884518945,1.0,1.0,0.20155038759689922,0.41860465116279066,0.0,-1,hamilton_08,pre,0.05,-1
3,3,0.30996478026112767,0.23247358519584577,0.01583019793050147,2.6712161131385455,0.680839109252237,0.15498239013056384,1.7413217723551622,0.6518835236843477,0.5804405907850541,0.21222572884518945,1.0,0.6976744186046512,0.5038759689922481,0.8527131782945736,0.33488372093023255,-1,hamilton_08,pre,0.05,-1
4,5,0.5597300452230396,0.17491563913219987,0.024301906675840344,5.714879027216039,0.5613647163271769,0.1399325113057599,2.9162288011008397,0.5102870572085336,0.5832457602201679,0.21222572884518945,0.6744186046511629,0.6976744186046512,0.20155038759689922,0.41860465116279066,0.33488372093023255,-1,hamilton_08,pre,0.05,-1
5,2,0.9247623791710171,0.9247623791710171,0.012192467837385323,2.325031004000062,0.21237779197749238,0.9247623791710171,0.47550624565802746,0.2045160881037502,0.23775312282901373,0.21222572884518945,0.23255813953488372,0.37209302325581395,0.0,0.0,0.0,-1,hamilton_08,pre,0.05,-1
0,2,0.9964596582552981,0.9964596582552981,0.025677054554914324,4.047083680903743,0.5484129813297218,0.9964596582552981,2.054164364393146,0.5075665655458936,1.027082182196573,0.21995679093701465,0.29296875,0.5078125,0.2734375,0.52734375,0.96875,-1,hamilton_19,pre,0.05,-1
1,29,1.1468547074168847,0.04820113987694152,0.01620469621830892,39.06006776124424,0.5282623585161752,0.040959096693460165,5.801281246154586,0.37974031084295873,0.23205124984618344,0.21995679093701465,0.0,1.0,0.2734375,0.078125,0.0,-1,hamilton_19,pre,0.05,-1
2,2,0.15680512272426803,0.15680512272426803,0.014163507093144975,0.5685533731251455,0.4531481725270374,0.15680512272426803,0.25494312767660954,0.4484066751293259,0.12747156383830477,0.21995679093701465,1.0,0.8203125,0.1171875,0.3515625,0.0,-1,hamilton_19,pre,0.05,-1
3,5,0.6420823361655662,0.17835620449043507,0.009398020966809239,4.08442763074109,0.23137982459903716,0.16052058404139155,0.8740159499132591,0.2139873756937334,0.17480318998265182,0.21995679093701465,0.5598958333333334,0.8203125,0.0,0.0,0.0,-1,hamilton_19,pre,0.05,-1
4,16,0.16654905384824725,0.018766090574450396,0.013084014099139986,6.576905077214811,0.6767387615288787,0.011103270256549816,3.912120215642859,0.5948269238666836,0.24450751347767868,0.21995679093701465,1.0,1.0,0.6484375,0.828125,0.0,-1,hamilton_19,pre,0.05,-1
0,2,0.7235851581715593,0.7235851581715593,0.008269449873702091,1.8771817097756274,0.252436203786146,0.7235851581715593,0.4300113934325088,0.22907286555860729,0.2150056967162544,0.37442020876558246,0.5,0.5555555555555556,0.08333333333333333,0.041666666666666664,0.6527777777777778,-1,hamilton_20,pre,0.05,-1
1,27,0.16747269301382484,0.010564866148068388,0.009076968699729905,6.854543667203856,0.5140509603264745,0.006441257423608647,2.3327809558305854,0.34032622288074016,0.09719920649294106,0.37442020876558246,0.6583333333333333,1.0,0.3416666666666667,0.2638888888888889,0.0,-1,hamilton_20,pre,0.05,-1
2,2,0.23545385968206808,0.23545385968206808,0.015289857285110252,0.9754730097727744,0.543385587979008,0.23545385968206808,0.5045652904086382,0.5172519232758384,0.2522826452043191,0.37442020876558246,0.5,0.5555555555555556,0.3416666666666667,0.5166666666666667,0.71875,-1,hamilton_20,pre,0.05,-1
