neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,sig,fs_fast_response
1069,184.0,16.0,0.33,1.71,1.38,569.0,0.0,True,activated
1070,184.0,16.0,1.28,3.74,2.46,520.5,0.0,True,activated
1071,184.0,16.0,0.95,3.67,2.72,393.0,0.0,True,activated
1072,184.0,16.0,0.24,-3.23,-3.47,2673.5,0.0,True,inhibited
1074,184.0,16.0,0.81,2.57,1.76,821.0,0.02,True,activated
1075,184.0,16.0,0.63,1.24,0.6,1078.0,0.28,False,non responder
1076,184.0,16.0,0.28,2.84,2.56,531.0,0.0,True,activated
1078,184.0,16.0,0.74,-0.9,-1.64,2658.5,0.0,True,inhibited
1079,184.0,16.0,-0.12,-0.14,-0.01,1538.5,2.26,False,non responder
1081,184.0,16.0,,,,,,False,non responder
1082,184.0,16.0,0.76,1.71,0.95,1166.5,0.59,False,non responder
1084,184.0,16.0,0.53,2.36,1.82,725.0,0.0,True,activated
1085,184.0,16.0,0.6,-2.03,-2.64,2692.5,0.0,True,inhibited
1087,184.0,16.0,-0.08,1.61,1.69,746.5,0.0,True,activated
1088,184.0,16.0,0.06,0.23,0.17,1398.5,1.51,False,non responder
1093,184.0,16.0,0.02,0.73,0.71,1085.0,0.3,False,non responder
1094,184.0,16.0,0.44,1.38,0.94,939.5,0.07,False,non responder
1095,184.0,16.0,-1.28,6.73,8.01,88.5,0.0,True,activated
1098,184.0,16.0,1.16,0.96,-0.2,1925.0,0.17,False,non responder
1100,184.0,16.0,0.05,0.62,0.58,970.0,0.1,False,non responder
1102,184.0,16.0,0.68,0.04,-0.64,1845.0,0.29,False,non responder
1105,184.0,16.0,-0.8,0.16,0.96,832.5,0.02,True,activated
1106,184.0,16.0,2.11,8.41,6.3,635.0,0.0,True,activated
1107,184.0,16.0,-0.49,-2.15,-1.66,2640.0,0.0,True,inhibited
1111,184.0,16.0,-0.21,-0.97,-0.75,2045.0,0.03,True,inhibited
1114,184.0,16.0,0.46,7.22,6.76,76.0,0.0,True,activated
1116,184.0,16.0,0.37,8.72,8.35,133.0,0.0,True,activated
1119,184.0,16.0,0.01,3.39,3.38,356.5,0.0,True,activated
1121,184.0,16.0,0.28,5.3,5.01,214.5,0.0,True,activated
1123,184.0,16.0,0.72,6.92,6.21,97.0,0.0,True,activated
1124,184.0,16.0,0.38,0.48,0.1,1422.5,2.54,False,non responder
1127,184.0,16.0,0.45,-1.79,-2.24,2528.5,0.0,True,inhibited
1129,184.0,16.0,,,,,,False,non responder
1131,184.0,16.0,0.82,14.36,13.54,36.5,0.0,True,activated
1136,184.0,16.0,0.13,0.21,0.08,1483.0,2.79,False,non responder
1137,184.0,16.0,0.08,4.77,4.69,198.5,0.0,True,activated
1138,184.0,16.0,0.01,6.05,6.05,237.5,0.0,True,activated
1139,184.0,16.0,0.35,18.39,18.03,30.0,0.0,True,activated
1140,184.0,16.0,0.39,4.98,4.59,285.5,0.0,True,activated
1143,184.0,16.0,0.29,0.7,0.41,1321.0,0.09,False,non responder
1144,184.0,16.0,1.24,6.82,5.58,124.0,0.0,True,activated
1145,184.0,16.0,0.52,1.36,0.84,1031.0,0.18,False,non responder
1146,184.0,16.0,0.09,0.22,0.13,1470.0,2.84,False,non responder
1148,184.0,16.0,-1.12,-1.12,-0.0,1571.5,1.97,False,non responder
1149,184.0,16.0,0.11,1.05,0.94,1044.5,0.21,False,non responder
1150,184.0,16.0,0.12,0.76,0.64,919.5,0.06,False,non responder
1151,184.0,16.0,0.47,-1.83,-2.3,2715.0,0.0,True,inhibited
1152,184.0,16.0,0.25,-0.7,-0.95,2157.0,0.01,True,inhibited
1153,184.0,16.0,0.05,0.19,0.14,1398.0,1.89,False,non responder
1154,184.0,16.0,0.4,0.71,0.31,1326.5,1.59,False,non responder
1157,184.0,16.0,0.82,1.44,0.62,1479.5,2.8,False,non responder
1159,184.0,16.0,0.05,0.65,0.6,1395.5,2.16,False,non responder
1166,184.0,16.0,0.27,10.2,9.93,64.0,0.0,True,activated
1168,184.0,16.0,0.7,4.86,4.16,791.0,0.01,True,activated
1173,184.0,16.0,0.03,-0.72,-0.75,2251.5,0.0,True,inhibited
1175,184.0,16.0,-0.3,2.51,2.81,651.0,0.0,True,activated
1176,184.0,16.0,0.21,0.15,-0.06,1599.5,1.72,False,non responder
1178,184.0,16.0,0.18,-1.08,-1.26,2247.5,0.0,True,inhibited
1179,184.0,16.0,-0.6,-4.22,-3.63,2788.5,0.0,True,inhibited
1180,184.0,16.0,-0.31,-0.04,0.27,1274.0,0.39,False,non responder
1181,184.0,16.0,1.58,12.17,10.58,289.5,0.0,True,activated
1182,184.0,16.0,0.46,2.61,2.16,455.0,0.0,True,activated
1183,184.0,16.0,0.09,0.08,-0.0,1480.0,2.8,False,non responder
1184,184.0,16.0,0.19,-0.91,-1.09,2379.0,0.0,True,inhibited
1186,184.0,16.0,1.67,0.56,-1.11,2030.0,0.05,False,non responder
1187,184.0,16.0,0.32,0.0,-0.31,1793.5,0.45,False,non responder
1190,184.0,16.0,0.47,-1.41,-1.88,2610.0,0.0,True,inhibited
1191,184.0,16.0,0.89,-0.04,-0.92,2084.5,0.03,True,inhibited
1192,184.0,16.0,1.35,0.7,-0.65,1738.0,0.77,False,non responder
1193,184.0,16.0,0.11,-0.34,-0.45,1868.5,0.28,False,non responder
1194,184.0,16.0,0.94,-0.85,-1.79,2468.0,0.0,True,inhibited
1195,184.0,16.0,0.65,2.6,1.95,698.5,0.0,True,activated
1196,184.0,16.0,0.21,-0.13,-0.34,1783.0,0.56,False,non responder
1197,184.0,16.0,0.59,0.79,0.19,1504.5,2.6,False,non responder
1198,184.0,16.0,0.26,-0.2,-0.46,1673.5,0.95,False,non responder
1201,184.0,16.0,0.53,-0.15,-0.68,2046.0,0.04,True,inhibited
1202,184.0,16.0,3.12,0.45,-2.67,1954.5,0.1,False,non responder
1203,184.0,16.0,0.25,0.58,0.34,1359.0,1.91,False,non responder
1204,184.0,16.0,0.66,-0.0,-0.67,2051.5,0.04,True,inhibited
1205,184.0,16.0,0.93,-0.71,-1.64,2492.0,0.0,True,inhibited
1208,184.0,16.0,0.28,0.35,0.07,1591.0,1.78,False,non responder
1209,184.0,16.0,0.82,0.44,-0.38,1680.5,1.07,False,non responder
1210,184.0,16.0,1.11,0.44,-0.67,1742.0,0.7,False,non responder
1211,184.0,16.0,0.81,1.25,0.44,1243.5,1.0,False,non responder
1212,184.0,16.0,0.51,-0.27,-0.79,2171.0,0.01,True,inhibited
1214,184.0,16.0,0.6,0.46,-0.14,1757.5,0.67,False,non responder
1215,184.0,16.0,1.04,-0.53,-1.57,2318.0,0.0,True,inhibited
1216,184.0,16.0,1.15,0.6,-0.56,1908.5,0.19,False,non responder
1219,184.0,16.0,0.94,-1.74,-2.68,2690.0,0.0,True,inhibited
1220,184.0,16.0,1.57,8.1,6.53,243.5,0.0,True,activated
1221,184.0,16.0,0.11,-0.81,-0.92,2068.0,0.03,True,inhibited
1222,184.0,16.0,-0.39,0.96,1.35,603.5,0.0,True,activated
1224,184.0,16.0,-0.35,1.14,1.49,488.0,0.0,True,activated
1226,184.0,16.0,-0.03,0.09,0.12,1487.5,2.77,False,non responder
1227,184.0,16.0,0.32,5.98,5.66,67.0,0.0,True,activated
1229,184.0,16.0,-0.59,2.35,2.95,873.5,0.03,True,activated
1230,184.0,16.0,1.56,8.65,7.09,68.5,0.0,True,activated
1231,184.0,16.0,0.73,3.19,2.46,481.0,0.0,True,activated
1232,184.0,16.0,0.38,2.83,2.45,505.0,0.0,True,activated
1233,184.0,16.0,0.78,0.97,0.19,1728.0,0.83,False,non responder
1234,184.0,16.0,-0.57,11.54,12.11,32.5,0.0,True,activated
1235,184.0,16.0,0.11,2.54,2.42,469.5,0.0,True,activated
1236,184.0,16.0,1.49,-0.08,-1.57,1886.0,0.24,False,non responder
1237,184.0,16.0,1.16,5.18,4.02,286.0,0.0,True,activated
1238,184.0,16.0,1.86,-0.34,-2.2,2012.0,0.07,False,non responder
1240,184.0,16.0,2.46,4.41,1.95,995.0,0.13,False,non responder
1241,184.0,16.0,0.75,7.38,6.63,15.0,0.0,True,activated
1242,184.0,16.0,0.16,1.14,0.98,954.0,0.07,False,non responder
1244,184.0,16.0,-0.02,1.46,1.49,532.5,0.0,True,activated
1245,184.0,16.0,-0.19,0.94,1.13,937.5,0.07,False,non responder
1250,184.0,16.0,1.45,2.84,1.39,927.5,0.06,False,non responder
1255,184.0,16.0,1.46,-0.86,-2.33,2433.5,0.0,True,inhibited
1261,184.0,16.0,-0.81,-3.23,-2.42,2849.0,0.0,True,inhibited
1263,184.0,16.0,2.16,0.65,-1.51,1785.0,0.56,False,non responder
1264,184.0,16.0,5.56,-0.21,-5.77,2419.5,0.0,True,inhibited
1265,184.0,16.0,1.45,-0.1,-1.55,2251.5,0.0,True,inhibited
1266,184.0,16.0,2.59,1.34,-1.25,1549.5,2.16,False,non responder
1267,184.0,16.0,-0.53,-1.54,-1.02,2453.0,0.0,True,inhibited
1269,184.0,16.0,-0.52,-2.39,-1.87,2903.5,0.0,True,inhibited
1270,184.0,16.0,0.93,0.4,-0.53,1852.5,0.32,False,non responder
1272,184.0,16.0,0.62,-1.82,-2.44,2853.5,0.0,True,inhibited
1273,184.0,16.0,-0.94,-1.52,-0.57,2008.0,0.02,True,inhibited
1274,184.0,16.0,0.52,3.26,2.74,600.0,0.0,True,activated
1276,184.0,16.0,1.91,-0.17,-2.08,2318.0,0.0,True,inhibited
1277,184.0,16.0,-0.57,-0.84,-0.27,1765.5,0.63,False,non responder
1280,184.0,16.0,0.3,-1.46,-1.76,2478.0,0.0,True,inhibited
1281,184.0,16.0,,,,,,False,non responder
1283,184.0,16.0,1.63,2.87,1.24,1205.5,0.65,False,non responder
1284,184.0,16.0,-0.32,-2.66,-2.34,2887.5,0.0,True,inhibited
1285,184.0,16.0,-0.17,-0.44,-0.27,1686.0,0.56,False,non responder
1287,184.0,16.0,0.72,2.78,2.05,469.5,0.0,True,activated
1289,184.0,16.0,2.21,10.98,8.76,236.5,0.0,True,activated
1291,184.0,16.0,1.11,2.17,1.06,1256.0,0.81,False,non responder
1292,184.0,16.0,0.93,1.84,0.9,1082.0,0.29,False,non responder
1294,184.0,16.0,0.7,-0.49,-1.19,2207.0,0.0,True,inhibited
1299,184.0,16.0,2.09,4.88,2.8,638.5,0.0,True,activated
1301,184.0,16.0,0.75,-0.94,-1.69,2665.0,0.0,True,inhibited
1302,184.0,16.0,1.56,1.12,-0.44,1620.5,1.39,False,non responder
1303,184.0,16.0,0.75,-2.37,-3.11,2917.0,0.0,True,inhibited
1305,184.0,16.0,0.59,1.54,0.95,910.0,0.04,True,activated
1312,184.0,16.0,-0.07,-0.25,-0.18,1566.0,1.43,False,non responder
1314,184.0,16.0,1.83,4.33,2.5,789.5,0.01,True,activated
1315,184.0,16.0,-0.03,-1.69,-1.67,2666.0,0.0,True,inhibited
1316,184.0,16.0,-0.46,-1.95,-1.49,2564.5,0.0,True,inhibited
1317,184.0,16.0,2.22,7.17,4.95,226.5,0.0,True,activated
1318,184.0,16.0,1.77,2.73,0.96,1031.5,0.18,False,non responder
1319,184.0,16.0,1.63,0.27,-1.36,1921.0,0.17,False,non responder
1320,184.0,16.0,0.36,0.48,0.11,1421.5,2.16,False,non responder
1321,184.0,16.0,0.06,-0.5,-0.56,2044.5,0.04,True,inhibited
1322,184.0,16.0,1.15,0.57,-0.58,1766.0,0.52,False,non responder
1329,184.0,16.0,3.14,9.04,5.9,489.0,0.0,True,activated
1330,184.0,16.0,-1.3,-2.92,-1.62,2358.5,0.0,True,inhibited
