neuron_id,response_fs_slow,fs_fast_response,response_second_window
1069,non responder,activated,non responder
1070,activated,activated,activated
1071,activated,activated,non responder
1072,activated,inhibited,activated
1074,non responder,activated,non responder
1075,inhibited,non responder,non responder
1076,inhibited,activated,activated
1078,non responder,inhibited,activated
1079,inhibited,non responder,non responder
1082,activated,non responder,non responder
1084,inhibited,activated,non responder
1085,activated,inhibited,activated
1087,inhibited,activated,non responder
1088,inhibited,non responder,non responder
1093,activated,non responder,non responder
1094,activated,non responder,non responder
1095,activated,activated,inhibited
1098,activated,non responder,activated
1100,activated,non responder,non responder
1102,activated,non responder,non responder
1105,non responder,activated,inhibited
1106,activated,activated,activated
1107,activated,inhibited,non responder
1111,inhibited,inhibited,non responder
1114,inhibited,activated,non responder
1116,inhibited,activated,non responder
1119,non responder,activated,non responder
1121,inhibited,activated,non responder
1123,activated,activated,non responder
1124,non responder,non responder,non responder
1127,activated,inhibited,activated
1129,inhibited,non responder,non responder
1131,non responder,activated,non responder
1136,inhibited,non responder,non responder
1137,activated,activated,non responder
1138,activated,activated,non responder
1139,inhibited,activated,non responder
1140,activated,activated,non responder
1143,inhibited,non responder,non responder
1144,inhibited,activated,activated
1145,inhibited,non responder,non responder
1146,inhibited,non responder,non responder
1148,activated,non responder,non responder
1149,inhibited,non responder,non responder
1150,inhibited,non responder,non responder
1151,activated,inhibited,non responder
1152,activated,inhibited,non responder
1153,inhibited,non responder,non responder
1154,non responder,non responder,non responder
1157,activated,non responder,non responder
1159,activated,non responder,non responder
1166,non responder,activated,non responder
1168,non responder,activated,non responder
1173,inhibited,inhibited,non responder
1175,inhibited,activated,non responder
1176,non responder,non responder,non responder
1177,non responder,,
1178,non responder,inhibited,non responder
1179,activated,inhibited,non responder
1180,inhibited,non responder,non responder
1181,inhibited,activated,non responder
1182,activated,activated,non responder
1183,non responder,non responder,non responder
1184,non responder,inhibited,activated
1186,activated,non responder,activated
1187,non responder,non responder,activated
1190,activated,inhibited,activated
1191,non responder,inhibited,activated
1192,inhibited,non responder,activated
1193,inhibited,non responder,non responder
1194,activated,inhibited,activated
1195,inhibited,activated,non responder
1196,inhibited,non responder,activated
1197,non responder,non responder,activated
1198,non responder,non responder,non responder
1201,non responder,inhibited,activated
1202,inhibited,non responder,activated
1203,inhibited,non responder,non responder
1204,activated,inhibited,activated
1205,activated,inhibited,activated
1208,inhibited,non responder,non responder
1209,inhibited,non responder,activated
1210,inhibited,non responder,activated
1211,activated,non responder,activated
1212,activated,inhibited,activated
1214,activated,non responder,activated
1215,activated,inhibited,activated
1216,activated,non responder,activated
1219,activated,inhibited,activated
1220,activated,activated,non responder
1221,non responder,inhibited,non responder
1222,activated,activated,inhibited
1224,inhibited,activated,inhibited
1226,activated,non responder,non responder
1227,activated,activated,non responder
1229,inhibited,activated,non responder
1230,activated,activated,non responder
