timepoint_s,quality,session_name,state
0.0,good,chronic_01,act
2.0,good,chronic_01,act
4.0,good,chronic_01,act
6.0,good,chronic_01,act
8.0,good,chronic_01,act
10.0,good,chronic_01,sw
12.0,good,chronic_01,sw
14.0,good,chronic_01,sw
16.0,good,chronic_01,sw
18.0,good,chronic_01,sw
20.0,good,chronic_01,sw
22.0,good,chronic_01,sw
24.0,good,chronic_01,sw
26.0,good,chronic_01,sw
28.0,good,chronic_01,sw
30.0,good,chronic_01,sw
32.0,good,chronic_01,act
34.0,good,chronic_01,act
36.0,good,chronic_01,act
38.0,good,chronic_01,act
40.0,good,chronic_01,act
42.0,good,chronic_01,act
44.0,good,chronic_01,act
46.0,good,chronic_01,act
48.0,good,chronic_01,act
50.0,good,chronic_01,sw
52.0,good,chronic_01,sw
54.0,good,chronic_01,sw
56.0,good,chronic_01,sw
58.0,good,chronic_01,sw
60.0,good,chronic_01,sw
62.0,good,chronic_01,sw
64.0,good,chronic_01,sw
66.0,good,chronic_01,act
68.0,good,chronic_01,act
70.0,good,chronic_01,act
72.0,good,chronic_01,act
74.0,good,chronic_01,act
76.0,good,chronic_01,act
78.0,good,chronic_01,act
80.0,good,chronic_01,act
82.0,good,chronic_01,sw
84.0,good,chronic_01,sw
86.0,good,chronic_01,sw
88.0,good,chronic_01,sw
90.0,good,chronic_01,sw
92.0,good,chronic_01,sw
94.0,good,chronic_01,sw
96.0,good,chronic_01,sw
98.0,good,chronic_01,sw
100.0,good,chronic_01,sw
102.0,good,chronic_01,sw
104.0,good,chronic_01,sw
106.0,good,chronic_01,sw
108.0,good,chronic_01,sw
110.0,good,chronic_01,sw
112.0,good,chronic_01,sw
114.0,good,chronic_01,sw
116.0,good,chronic_01,sw
118.0,good,chronic_01,sw
120.0,good,chronic_01,sw
122.0,good,chronic_01,sw
124.0,good,chronic_01,sw
126.0,good,chronic_01,sw
128.0,good,chronic_01,sw
130.0,good,chronic_01,sw
132.0,good,chronic_01,sw
134.0,good,chronic_01,sw
136.0,good,chronic_01,sw
138.0,good,chronic_01,sw
140.0,good,chronic_01,sw
142.0,good,chronic_01,sw
144.0,good,chronic_01,act
146.0,good,chronic_01,act
148.0,good,chronic_01,act
150.0,good,chronic_01,act
152.0,good,chronic_01,act
