neuron_id,session_name,group_name,experiment_name,group,neuron_type,width_basepost,mean_firing_rate,cv_isi_burst
1069,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,31.043712171287893,1.762948517176924,0.9354405859667604
1070,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,32.71172718074294,5.95043769121596,0.8295703560641289
1071,hamilton_01,chronic_saline,HAMILTON,SAL,FF,47.19102518708712,9.444791697576658,0.6503707485630601
1072,hamilton_01,chronic_saline,HAMILTON,SAL,FF,61.01998929603658,9.497278748985693,0.7665325175493309
1074,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,48.56139048425379,3.230634058500055,0.744523670104607
1075,hamilton_01,chronic_saline,HAMILTON,SAL,SR,45.53801670136889,4.831330682934524,0.6653431521743454
1076,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,55.84665374280624,2.0931717249711914,0.820416237882713
1077,hamilton_01,chronic_saline,HAMILTON,SAL,SR,,,
1078,hamilton_01,chronic_saline,HAMILTON,SAL,SR,77.13020646373786,2.736619964055828,0.8040454211736818
1079,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,48.97367434923086,3.824250702115576,0.715278923297411
1080,hamilton_01,chronic_saline,HAMILTON,SAL,SR,,,
1081,hamilton_01,chronic_saline,HAMILTON,SAL,SR,43.5897424583585,6.055029733916969,0.5124268275629028
1082,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,45.589342294985386,3.460131082673331,0.8528711736647018
1084,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,38.14567928405828,1.8214534718277733,0.8364701003986172
1085,hamilton_01,chronic_saline,HAMILTON,SAL,SR,65.75660282245286,1.396951583958944,0.5657885526696022
1086,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,,1.5070894002069783,1.000887620420174
1087,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,57.93710996534352,0.9527011111320612,1.0506205936317914
1088,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,57.1032912552601,0.9403138765610186,0.9372310105409702
1089,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,,,0.3935459091072775
1093,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,30.46123648441372,2.2416128020246147,0.779020150824688
1094,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,52.77523402856056,0.968057557936516,0.8746362898388502
1095,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,69.16536473215936,1.7599548644940937,0.8155416343312218
1096,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,72.34420490893757,,1.3844276035700966
1098,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,33.29364232704984,0.9288512818792743,0.8660313920210936
1099,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,,1.0700146235331909,1.002437433785203
1100,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,49.65141494446863,1.9721776648327416,0.5389844042423905
1102,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,77.008631761945,1.0604405503344354,0.9577985853380804
1103,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,,,
1104,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,75.02668039854154,,
1105,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,30.14432527733329,1.0843138341578076,0.9568026782270932
1106,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,74.03603413537266,0.9171511056860628,0.3918257257979971
1107,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,61.532198841574456,1.848889889225928,0.423017663587326
1108,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,,,
1109,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,,,
1110,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,,0.6848462208940302,0.9338144009802378
1111,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,53.26667507046449,1.557159605474432,0.4718301139174745
1114,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,FF,70.71648568054621,12.608173992061706,0.5843545447850504
1116,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SR,86.54650868647255,7.777172280364164,0.791083946734529
1118,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SR,94.73692797120812,,0.9835210267455988
1119,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SIR,71.93243093319091,0.7655154095692207,0.8910314933995589
1121,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SR,70.29599762578948,3.179586384512855,0.8449304671262783
1123,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,FF,22.6145285986384,7.287191865198807,0.6872998912098607
1124,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SIR,49.233773954673154,2.863639779736637,0.8142345716633288
1127,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SR,61.981490402876005,3.4603471097702587,0.3563713567521691
1128,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SIR,,,0.9190489639843468
1129,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SR,58.7466992616709,3.780848357798536,0.3487626041568439
1131,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SIR,21.801262648147656,1.1706429208235951,0.9845319574642688
1133,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SIR,24.47815008631881,,1.19319593723987
1134,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SIR,40.2657207501741,,0.9249498737790036
1136,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SR,83.08290189967425,1.0458404227444449,0.904304080647276
1137,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SIR,29.191854670553735,0.6782395756362073,1.0246649762272146
1138,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SIR,47.10041887612866,1.6995663139964237,0.9343065784664544
1139,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SIR,42.609527718839246,1.4521679114118555,0.9169156065020856
1140,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SIR,51.44499823700147,0.5300860653625594,1.03633601929225
1141,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SIR,,0.7752425219786707,0.9544089508674842
1142,hamilton_12,citalopram_discontinuation,HAMILTON,DIS,SR,,1.2738484852618297,0.5831017549192556
1143,hamilton_13,chronic_saline,HAMILTON,SAL,SR,57.86398959278685,3.8688846767143934,0.5023788542120055
1144,hamilton_13,chronic_saline,HAMILTON,SAL,FF,30.454058813828997,23.076401122805343,0.3390732015421717
1145,hamilton_13,chronic_saline,HAMILTON,SAL,SIR,21.172512152049396,6.081507456995828,0.7960575082949276
1146,hamilton_13,chronic_saline,HAMILTON,SAL,FF,37.39858377079605,19.627924795257677,0.4631122292641947
1147,hamilton_13,chronic_saline,HAMILTON,SAL,SIR,47.18343003062694,,
1148,hamilton_13,chronic_saline,HAMILTON,SAL,SR,69.2764838571054,3.8836732053865446,0.5258957444942846
1149,hamilton_13,chronic_saline,HAMILTON,SAL,FF,35.2959159971862,19.77863233230748,0.4556841984505746
1150,hamilton_13,chronic_saline,HAMILTON,SAL,FF,36.54624937383184,8.026996458636985,0.6187529693142797
1151,hamilton_13,chronic_saline,HAMILTON,SAL,SR,67.28575960768626,3.4812666955417084,0.2799548054027821
1152,hamilton_13,chronic_saline,HAMILTON,SAL,SR,83.58078071042198,1.992884319175986,0.444791125070702
1153,hamilton_13,chronic_saline,HAMILTON,SAL,SR,91.35080742692108,2.509928135004574,0.8647004108207773
1154,hamilton_13,chronic_saline,HAMILTON,SAL,SR,60.06690530403884,2.524134090511544,0.4188644251129974
1155,hamilton_13,chronic_saline,HAMILTON,SAL,SR,64.72313598848459,,
1156,hamilton_13,chronic_saline,HAMILTON,SAL,SR,61.55004667066103,,
1157,hamilton_13,chronic_saline,HAMILTON,SAL,SR,70.82431967927329,3.988068279057544,0.8606322854106627
1158,hamilton_13,chronic_saline,HAMILTON,SAL,SR,66.0366423690769,,
1159,hamilton_13,chronic_saline,HAMILTON,SAL,SIR,34.88515162220227,0.5204135619512915,1.2930430142396805
1161,hamilton_13,chronic_saline,HAMILTON,SAL,SR,72.33789554131451,,
1162,hamilton_13,chronic_saline,HAMILTON,SAL,,,,
1164,hamilton_13,chronic_saline,HAMILTON,SAL,SR,75.41856391911335,,
1165,hamilton_14,citalopram_continuation,HAMILTON,CIT,SIR,,,1.282974513126661
1166,hamilton_14,citalopram_continuation,HAMILTON,CIT,SR,49.06479503551239,3.1188096456486702,0.5415511867601162
1167,hamilton_14,citalopram_continuation,HAMILTON,CIT,SIR,,0.9034678666429644,0.9994753732435344
1168,hamilton_14,citalopram_continuation,HAMILTON,CIT,SIR,63.58994836085458,1.439994498585325,0.8985968156355935
1170,hamilton_14,citalopram_continuation,HAMILTON,CIT,SIR,,0.5712421470072631,1.140578466873889
1171,hamilton_14,citalopram_continuation,HAMILTON,CIT,SIR,,,0.9168112119200792
1172,hamilton_14,citalopram_continuation,HAMILTON,CIT,SIR,68.64226005467336,,0.8672682005598693
1173,hamilton_14,citalopram_continuation,HAMILTON,CIT,SR,67.57020180584067,1.2498859224761,0.4607488080030798
1174,hamilton_14,citalopram_continuation,HAMILTON,CIT,SIR,43.67130737064085,,1.0552048781721997
1175,hamilton_14,citalopram_continuation,HAMILTON,CIT,SR,64.6272653680274,4.134854505723071,0.6493859527599115
1176,hamilton_05,citalopram_discontinuation,HAMILTON,DIS,SR,64.28735969227185,1.0115403116937922,0.6662812149771495
1177,hamilton_05,citalopram_discontinuation,HAMILTON,DIS,SIR,28.39203871293114,4.605111673958015,0.7338249095817397
1178,hamilton_05,citalopram_discontinuation,HAMILTON,DIS,SR,51.15717408713684,5.222082210165214,0.4907253616690885
1179,hamilton_05,citalopram_discontinuation,HAMILTON,DIS,SIR,26.55286029183644,4.828741743913492,0.5728245916203754
1180,hamilton_05,citalopram_discontinuation,HAMILTON,DIS,SIR,39.53444498458779,0.8494004485003868,0.8932141416534494
1181,hamilton_05,citalopram_discontinuation,HAMILTON,DIS,SIR,77.16135346135266,0.9781061677644992,1.204952382839537
1182,hamilton_05,citalopram_discontinuation,HAMILTON,DIS,SR,47.76442949555656,1.7102898668490858,0.6021986628267928
1183,hamilton_05,citalopram_discontinuation,HAMILTON,DIS,SR,63.85340158404469,1.6988434621550828,0.466007699498176
1184,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SR,58.351002463012776,2.293048905976166,0.5227455584888125
1185,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,,8.74360675519531,1.276428214080202
1186,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SR,63.4320853488739,5.233572557161805,0.837354838132038
1187,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,74.73072293402404,0.7490789733532198,1.0804186642338964
1188,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,,1.3928962292309193,0.8497452335129727
1189,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,,1.161283876883244,0.8873991852105776
1190,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,50.22754139276219,1.0809331717550603,0.8666102264019238
1191,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,51.573248971764286,1.750775706989817,0.8847581874765257
1192,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,49.38868458611071,1.9124149039435887,0.9190434378739138
1193,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SR,60.13649208045291,5.49824933999593,0.8000404262684733
1194,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,61.96117437446745,0.8764523250319114,0.8818157403958918
1195,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,42.27399879388807,1.0818900619382066,0.9408153085257678
1196,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,50.350681388653726,4.083093365098938,0.8310853672228464
1197,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,54.9225895574204,2.9308155364046726,0.9061427974464183
1198,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,56.86155473568385,0.9638476799383122,0.8681296300319499
