,session_name,k,L,bin_width,score
0,hamilton_01,6,10,0.05,0.033202254083922196
1,hamilton_01,6,10,0.1,2.046448703781381e-05
2,hamilton_01,6,10,0.5,0.00958837198002264
3,hamilton_01,6,10,1.0,0.007650145532782934
4,hamilton_01,6,10,2.0,-0.015132287912498498
5,hamilton_02,6,10,0.05,0.006071379180650275
6,hamilton_02,6,10,0.1,0.04389048976596581
7,hamilton_02,6,10,0.5,-0.012502096839136504
8,hamilton_02,6,10,1.0,-0.01019331788708452
9,hamilton_02,6,10,2.0,-0.04514652098013736
10,hamilton_12,6,10,0.05,0.0072190172185812185
11,hamilton_12,6,10,0.1,-0.012819840553196807
12,hamilton_12,6,10,0.5,-0.04440541825894535
13,hamilton_12,6,10,1.0,-0.05855688176679121
14,hamilton_12,6,10,2.0,-0.046902599330708124
15,hamilton_13,6,10,0.05,0.02117348681017471
16,hamilton_13,6,10,0.1,0.020232170437847745
17,hamilton_13,6,10,0.5,-0.004307610731892875
18,hamilton_13,6,10,1.0,-0.0010329266441825077
19,hamilton_13,6,10,2.0,-0.013297243123468597
20,hamilton_14,6,10,0.05,0.022168737855320534
21,hamilton_14,6,10,0.1,0.013385152332391037
22,hamilton_14,6,10,0.5,-0.000895571685706858
23,hamilton_14,6,10,1.0,-0.016529104649515253
24,hamilton_14,6,10,2.0,0.005278499221544709
25,hamilton_05,6,10,0.05,-0.14783918254513753
26,hamilton_05,6,10,0.1,0.0968033470820088
27,hamilton_05,6,10,0.5,-0.015503106638066167
28,hamilton_05,6,10,1.0,0.014734544254339817
29,hamilton_05,6,10,2.0,-0.030233189305888405
30,hamilton_17,6,10,0.05,0.021900632805750928
31,hamilton_17,6,10,0.1,0.03876916353846663
32,hamilton_17,6,10,0.5,0.012341625977932407
33,hamilton_17,6,10,1.0,0.005059694954974899
34,hamilton_17,6,10,2.0,-0.003472422116613782
35,hamilton_18,6,10,0.05,0.0017938052576102555
36,hamilton_18,6,10,0.1,0.00013894101342474472
37,hamilton_18,6,10,0.5,-0.015965712418151992
38,hamilton_18,6,10,1.0,-0.01982024283967835
39,hamilton_18,6,10,2.0,-0.025303699952489794
40,hamilton_23,6,10,0.05,-0.04940310072126672
41,hamilton_23,6,10,0.1,0.009925290476183297
42,hamilton_23,6,10,0.5,-0.004615781125678544
43,hamilton_23,6,10,1.0,-0.005875225564874855
44,hamilton_23,6,10,2.0,-0.023804678221253123
45,hamilton_07,6,10,0.05,0.00983130081416901
46,hamilton_07,6,10,0.1,-0.001909910473886728
47,hamilton_07,6,10,0.5,-0.03023112992506424
48,hamilton_07,6,10,1.0,-0.041207274451008115
49,hamilton_07,6,10,2.0,-0.053343957673238344
50,hamilton_08,6,10,0.05,0.017793388397326557
51,hamilton_08,6,10,0.1,0.012996601749677454
52,hamilton_08,6,10,0.5,-0.024187230353623582
53,hamilton_08,6,10,1.0,-0.041065746760687576
54,hamilton_08,6,10,2.0,-0.05197055501368755
55,hamilton_19,6,10,0.05,0.02190297137453129
56,hamilton_19,6,10,0.1,-0.005079073461924655
57,hamilton_19,6,10,0.5,-0.025572745722334436
58,hamilton_19,6,10,1.0,-0.025217401094485326
59,hamilton_19,6,10,2.0,-0.02555686458808473
60,hamilton_20,6,10,0.05,0.0005883777208692923
61,hamilton_20,6,10,0.1,-0.005255379500337373
62,hamilton_20,6,10,0.5,0.014257597217737141
63,hamilton_20,6,10,1.0,-0.009093544835703208
64,hamilton_20,6,10,2.0,-0.01661363189450942
65,hamilton_25,6,10,0.05,0.02741060279511026
66,hamilton_25,6,10,0.1,0.013849029621698213
67,hamilton_25,6,10,0.5,0.006747742651352804
68,hamilton_25,6,10,1.0,-0.015707455178405712
69,hamilton_25,6,10,2.0,-0.008741825960333223
70,hamilton_26,6,10,0.05,0.00997051509587802
71,hamilton_26,6,10,0.1,0.010431704379784459
72,hamilton_26,6,10,0.5,-0.005625034074937579
73,hamilton_26,6,10,1.0,-0.006870337161537768
74,hamilton_26,6,10,2.0,-0.01418799712224239
75,hamilton_28,6,10,0.05,0.014881912551077124
76,hamilton_28,6,10,0.1,0.01415008806658442
77,hamilton_28,6,10,0.5,-0.012709198674203972
78,hamilton_28,6,10,1.0,-0.02124018704217651
79,hamilton_28,6,10,2.0,-0.027380611011603852
80,hamilton_29,6,10,0.05,0.012234884442591836
81,hamilton_29,6,10,0.1,0.0053588251593491565
