Source,ddof1,ddof2,F,p-unc,np2,neuron_id,p_adj,session_name,neuron_type,group
block,2,1796,62.11,0.0,0.06,1069,0.0,hamilton_01,SIR,SAL
block,2,1796,646.66,0.0,0.42,1070,0.0,hamilton_01,SIR,SAL
block,2,1796,172.76,0.0,0.16,1071,0.0,hamilton_01,FF,SAL
block,2,1796,702.8,0.0,0.44,1072,0.0,hamilton_01,FF,SAL
block,2,1796,552.39,0.0,0.38,1074,0.0,hamilton_01,SIR,SAL
block,2,1796,757.11,0.0,0.46,1075,0.0,hamilton_01,SR,SAL
block,2,1796,878.11,0.0,0.49,1076,0.0,hamilton_01,SIR,SAL
block,2,1796,30.0,0.0,0.03,1078,0.0,hamilton_01,SR,SAL
block,2,1796,581.92,0.0,0.39,1079,0.0,hamilton_01,SIR,SAL
block,2,1796,793.03,0.0,0.47,1082,0.0,hamilton_01,SIR,SAL
block,2,1796,108.24,0.0,0.11,1084,0.0,hamilton_01,SIR,SAL
block,2,1796,483.96,0.0,0.35,1085,0.0,hamilton_01,SR,SAL
block,2,1796,258.27,0.0,0.22,1087,0.0,hamilton_01,SIR,SAL
block,2,1796,230.12,0.0,0.2,1088,0.0,hamilton_02,SIR,CIT
block,2,1796,184.22,0.0,0.17,1093,0.0,hamilton_02,SIR,CIT
block,2,1796,352.44,0.0,0.28,1094,0.0,hamilton_02,SIR,CIT
block,2,1796,2621.3,0.0,0.74,1095,0.0,hamilton_02,SR,CIT
block,2,1796,203.26,0.0,0.18,1098,0.0,hamilton_02,SIR,CIT
block,2,1796,612.39,0.0,0.41,1100,0.0,hamilton_02,SR,CIT
block,2,1796,2423.71,0.0,0.73,1102,0.0,hamilton_02,SIR,CIT
block,2,1796,55.7,0.0,0.06,1105,0.0,hamilton_02,SIR,CIT
block,2,1796,668.26,0.0,0.43,1106,0.0,hamilton_02,SR,CIT
block,2,1796,286.76,0.0,0.24,1107,0.0,hamilton_02,SR,CIT
block,2,1796,1065.69,0.0,0.54,1111,0.0,hamilton_02,SR,CIT
block,2,1796,2154.64,0.0,0.71,1114,0.0,hamilton_12,FF,DIS
block,2,1796,637.94,0.0,0.42,1116,0.0,hamilton_12,SR,DIS
block,2,1796,23.87,0.0,0.03,1119,0.0,hamilton_12,SIR,DIS
block,2,1796,110.05,0.0,0.11,1121,0.0,hamilton_12,SR,DIS
block,2,1796,464.02,0.0,0.34,1123,0.0,hamilton_12,FF,DIS
block,2,1796,185.86,0.0,0.17,1124,0.0,hamilton_12,SIR,DIS
block,2,1796,43.31,0.0,0.05,1127,0.0,hamilton_12,SR,DIS
block,2,1796,19.12,0.0,0.02,1129,0.0,hamilton_12,SR,DIS
block,2,1796,95.88,0.0,0.1,1131,0.0,hamilton_12,SIR,DIS
block,2,1796,369.69,0.0,0.29,1136,0.0,hamilton_12,SR,DIS
block,2,1796,30.57,0.0,0.03,1137,0.0,hamilton_12,SIR,DIS
block,2,1796,118.7,0.0,0.12,1138,0.0,hamilton_12,SIR,DIS
block,2,1796,32.7,0.0,0.04,1139,0.0,hamilton_12,SIR,DIS
block,2,1796,134.07,0.0,0.13,1140,0.0,hamilton_12,SIR,DIS
block,2,1796,236.74,0.0,0.21,1143,0.0,hamilton_13,SR,SAL
block,2,1796,1077.13,0.0,0.55,1144,0.0,hamilton_13,FF,SAL
block,2,1796,853.75,0.0,0.49,1145,0.0,hamilton_13,SIR,SAL
block,2,1796,112.2,0.0,0.11,1146,0.0,hamilton_13,FF,SAL
block,2,1796,1186.49,0.0,0.57,1148,0.0,hamilton_13,SR,SAL
block,2,1796,5890.33,0.0,0.87,1149,0.0,hamilton_13,FF,SAL
block,2,1796,1782.34,0.0,0.66,1150,0.0,hamilton_13,FF,SAL
block,2,1796,33.96,0.0,0.04,1151,0.0,hamilton_13,SR,SAL
block,2,1796,89.1,0.0,0.09,1152,0.0,hamilton_13,SR,SAL
block,2,1796,525.92,0.0,0.37,1153,0.0,hamilton_13,SR,SAL
block,2,1796,278.01,0.0,0.24,1154,0.0,hamilton_13,SR,SAL
block,2,1796,776.83,0.0,0.46,1157,0.0,hamilton_13,SR,SAL
block,2,1796,118.86,0.0,0.12,1159,0.0,hamilton_13,SIR,SAL
block,2,1796,151.92,0.0,0.14,1166,0.0,hamilton_14,SR,CIT
block,2,1796,104.76,0.0,0.1,1168,0.0,hamilton_14,SIR,CIT
block,2,1796,167.59,0.0,0.16,1173,0.0,hamilton_14,SR,CIT
block,2,1796,129.34,0.0,0.13,1175,0.0,hamilton_14,SR,CIT
block,2,1796,7.26,0.0,0.01,1176,0.0,hamilton_05,SR,DIS
block,2,1796,8.59,0.0,0.01,1177,0.0,hamilton_05,SIR,DIS
