A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,div_inv,response,session_name,neuron_type
1Pre,3Post,-0.0,-0.55,0.55,0.05,10.84,0.0,0.63,1069,-0.55,0.0,True,-0.55,inhibited,hamilton_01,SIR
1Pre,3Post,-0.0,0.04,-0.04,0.06,-0.77,0.72,-0.04,1070,0.04,0.78,False,0.04,non responder,hamilton_01,SIR
1Pre,3Post,-0.0,0.43,-0.43,0.08,-5.49,0.0,-0.32,1071,0.43,0.0,True,0.43,activated,hamilton_01,FF
1Pre,3Post,0.0,-2.13,2.13,0.07,30.07,0.0,1.74,1072,-2.13,0.0,True,-2.13,inhibited,hamilton_01,FF
1Pre,3Post,0.0,-1.67,1.67,0.06,29.97,0.0,1.73,1074,-1.67,0.0,True,-1.67,inhibited,hamilton_01,SIR
1Pre,3Post,-0.0,-1.49,1.49,0.04,37.73,0.0,2.18,1075,-1.49,0.0,True,-1.49,inhibited,hamilton_01,SR
1Pre,3Post,0.0,2.82,-2.82,0.08,-34.78,0.0,-2.01,1076,2.82,0.0,True,2.82,activated,hamilton_01,SIR
1Pre,3Post,0.0,-0.41,0.41,0.05,7.68,0.0,0.44,1078,-0.41,0.0,True,-0.41,inhibited,hamilton_01,SR
1Pre,3Post,-0.0,-1.04,1.04,0.03,29.78,0.0,1.72,1079,-1.04,0.0,True,-1.04,inhibited,hamilton_01,SIR
1Pre,3Post,0.0,2.36,-2.36,0.1,-23.91,0.0,-1.38,1082,2.36,0.0,True,2.36,activated,hamilton_01,SIR
1Pre,3Post,0.0,-0.66,0.66,0.04,14.71,0.0,0.85,1084,-0.66,0.0,True,-0.66,inhibited,hamilton_01,SIR
1Pre,3Post,0.0,0.36,-0.36,0.05,-6.99,0.0,-0.4,1085,0.36,0.0,False,0.36,non responder,hamilton_01,SR
1Pre,3Post,-0.0,-1.05,1.05,0.05,21.77,0.0,1.26,1087,-1.05,0.0,True,-1.05,inhibited,hamilton_01,SIR
1Pre,3Post,0.0,0.86,-0.86,0.06,-13.77,0.0,-0.79,1088,0.86,0.0,True,0.86,activated,hamilton_02,SIR
1Pre,3Post,0.0,0.02,-0.02,0.07,-0.31,0.95,-0.02,1093,0.02,0.98,False,0.02,non responder,hamilton_02,SIR
1Pre,3Post,-0.0,1.8,-1.8,0.07,-24.86,0.0,-1.43,1094,1.8,0.0,True,1.8,activated,hamilton_02,SIR
