A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,div_inv,response,session_name,neuron_type
1Pre,2Shock,-0.0,-0.16,0.16,0.05,3.18,0.0,0.18,1069,-0.16,0.0,False,-0.16,non responder,hamilton_01,SIR
1Pre,2Shock,-0.0,1.79,-1.79,0.06,-31.53,0.0,-1.82,1070,1.79,0.0,True,1.79,activated,hamilton_01,SIR
1Pre,2Shock,-0.0,1.42,-1.42,0.08,-18.13,0.0,-1.05,1071,1.42,0.0,True,1.42,activated,hamilton_01,FF
1Pre,2Shock,0.0,0.31,-0.31,0.07,-4.36,0.0,-0.25,1072,0.31,0.0,True,0.31,activated,hamilton_01,FF
1Pre,2Shock,0.0,-0.14,0.14,0.06,2.52,0.03,0.15,1074,-0.14,0.04,False,-0.14,non responder,hamilton_01,SIR
1Pre,2Shock,-0.0,-1.07,1.07,0.04,27.11,0.0,1.56,1075,-1.07,0.0,True,-1.07,inhibited,hamilton_01,SR
1Pre,2Shock,0.0,-0.23,0.23,0.08,2.86,0.01,0.17,1076,-0.23,0.01,True,-0.23,inhibited,hamilton_01,SIR
1Pre,2Shock,0.0,-0.16,0.16,0.05,2.94,0.01,0.17,1078,-0.16,0.01,False,-0.16,non responder,hamilton_01,SR
1Pre,2Shock,-0.0,-1.02,1.02,0.03,29.3,0.0,1.69,1079,-1.02,0.0,True,-1.02,inhibited,hamilton_01,SIR
1Pre,2Shock,0.0,3.91,-3.91,0.1,-39.54,0.0,-2.28,1082,3.91,0.0,True,3.91,activated,hamilton_01,SIR
1Pre,2Shock,0.0,-0.32,0.32,0.04,7.23,0.0,0.42,1084,-0.32,0.0,True,-0.32,inhibited,hamilton_01,SIR
1Pre,2Shock,0.0,1.54,-1.54,0.05,-29.75,0.0,-1.72,1085,1.54,0.0,True,1.54,activated,hamilton_01,SR
1Pre,2Shock,-0.0,-0.8,0.8,0.05,16.55,0.0,0.95,1087,-0.8,0.0,True,-0.8,inhibited,hamilton_01,SIR
1Pre,2Shock,0.0,-0.46,0.46,0.06,7.36,0.0,0.42,1088,-0.46,0.0,True,-0.46,inhibited,hamilton_02,SIR
1Pre,2Shock,0.0,1.09,-1.09,0.06,-16.78,0.0,-0.97,1093,1.09,0.0,True,1.09,activated,hamilton_02,SIR
1Pre,2Shock,-0.0,1.49,-1.49,0.07,-20.51,0.0,-1.18,1094,1.49,0.0,True,1.49,activated,hamilton_02,SIR
1Pre,2Shock,-0.0,11.16,-11.16,0.17,-63.89,0.0,-3.69,1095,11.16,0.0,True,11.16,activated,hamilton_02,SR
1Pre,2Shock,-0.0,1.18,-1.18,0.07,-17.93,0.0,-1.03,1098,1.18,0.0,True,1.18,activated,hamilton_02,SIR
1Pre,2Shock,-0.0,1.33,-1.33,0.06,-22.11,0.0,-1.28,1100,1.33,0.0,True,1.33,activated,hamilton_02,SR
1Pre,2Shock,-0.0,5.15,-5.15,0.09,-58.42,0.0,-3.37,1102,5.15,0.0,True,5.15,activated,hamilton_02,SIR
1Pre,2Shock,-0.0,0.01,-0.01,0.06,-0.11,0.99,-0.01,1105,0.01,0.99,False,0.01,non responder,hamilton_02,SIR
1Pre,2Shock,0.0,1.75,-1.75,0.08,-20.98,0.0,-1.21,1106,1.75,0.0,True,1.75,activated,hamilton_02,SR
1Pre,2Shock,0.0,0.57,-0.57,0.08,-6.78,0.0,-0.39,1107,0.57,0.0,True,0.57,activated,hamilton_02,SR
1Pre,2Shock,-0.0,-1.19,1.19,0.06,20.87,0.0,1.2,1111,-1.19,0.0,True,-1.19,inhibited,hamilton_02,SR
1Pre,2Shock,-0.0,-1.98,1.98,0.04,52.18,0.0,3.01,1114,-1.98,0.0,True,-1.98,inhibited,hamilton_12,FF
1Pre,2Shock,0.0,-0.6,0.6,0.06,10.35,0.0,0.6,1116,-0.6,0.0,True,-0.6,inhibited,hamilton_12,SR
1Pre,2Shock,0.0,-0.03,0.03,0.06,0.54,0.85,0.03,1119,-0.03,0.87,False,-0.03,non responder,hamilton_12,SIR
1Pre,2Shock,0.0,-0.81,0.81,0.06,14.5,0.0,0.84,1121,-0.81,0.0,True,-0.81,inhibited,hamilton_12,SR
1Pre,2Shock,0.0,1.11,-1.11,0.06,-17.66,0.0,-1.02,1123,1.11,0.0,True,1.11,activated,hamilton_12,FF
1Pre,2Shock,-0.0,0.12,-0.12,0.05,-2.52,0.03,-0.15,1124,0.12,0.03,False,0.12,non responder,hamilton_12,SIR
1Pre,2Shock,0.0,0.64,-0.64,0.08,-7.8,0.0,-0.45,1127,0.64,0.0,True,0.64,activated,hamilton_12,SR
1Pre,2Shock,-0.0,-0.2,0.2,0.04,5.45,0.0,0.31,1129,-0.2,0.0,True,-0.2,inhibited,hamilton_12,SR
1Pre,2Shock,-0.0,0.13,-0.13,0.05,-2.48,0.04,-0.14,1131,0.13,0.04,False,0.13,non responder,hamilton_12,SIR
1Pre,2Shock,0.0,-0.77,0.77,0.04,19.39,0.0,1.12,1136,-0.77,0.0,True,-0.77,inhibited,hamilton_12,SR
1Pre,2Shock,-0.0,0.48,-0.48,0.06,-7.46,0.0,-0.43,1137,0.48,0.0,True,0.48,activated,hamilton_12,SIR
1Pre,2Shock,0.0,0.5,-0.5,0.05,-9.49,0.0,-0.55,1138,0.5,0.0,True,0.5,activated,hamilton_12,SIR
1Pre,2Shock,-0.0,-0.45,0.45,0.06,7.52,0.0,0.43,1139,-0.45,0.0,True,-0.45,inhibited,hamilton_12,SIR
1Pre,2Shock,-0.0,0.21,-0.21,0.07,-3.14,0.0,-0.18,1140,0.21,0.01,True,0.21,activated,hamilton_12,SIR
1Pre,2Shock,-0.0,-0.77,0.77,0.06,13.26,0.0,0.77,1143,-0.77,0.0,True,-0.77,inhibited,hamilton_13,SR
1Pre,2Shock,0.0,-0.71,0.71,0.06,11.97,0.0,0.69,1144,-0.71,0.0,True,-0.71,inhibited,hamilton_13,FF
1Pre,2Shock,-0.0,-1.47,1.47,0.04,33.66,0.0,1.94,1145,-1.47,0.0,True,-1.47,inhibited,hamilton_13,SIR
1Pre,2Shock,0.0,-0.67,0.67,0.07,10.07,0.0,0.58,1146,-0.67,0.0,True,-0.67,inhibited,hamilton_13,FF
1Pre,2Shock,0.0,1.33,-1.33,0.07,-19.44,0.0,-1.12,1148,1.33,0.0,True,1.33,activated,hamilton_13,SR
1Pre,2Shock,-0.0,-4.42,4.42,0.05,89.21,0.0,5.15,1149,-4.42,0.0,True,-4.42,inhibited,hamilton_13,FF
1Pre,2Shock,-0.0,-2.04,2.04,0.04,48.88,0.0,2.82,1150,-2.04,0.0,True,-2.04,inhibited,hamilton_13,FF
1Pre,2Shock,-0.0,0.82,-0.82,0.1,-8.02,0.0,-0.46,1151,0.82,0.0,True,0.82,activated,hamilton_13,SR
1Pre,2Shock,-0.0,1.25,-1.25,0.09,-13.27,0.0,-0.77,1152,1.25,0.0,True,1.25,activated,hamilton_13,SR
1Pre,2Shock,0.0,-1.1,1.1,0.04,30.83,0.0,1.78,1153,-1.1,0.0,True,-1.1,inhibited,hamilton_13,SR
1Pre,2Shock,-0.0,-0.08,0.08,0.06,1.28,0.4,0.07,1154,-0.08,0.43,False,-0.08,non responder,hamilton_13,SR
1Pre,2Shock,0.0,2.58,-2.58,0.07,-35.49,0.0,-2.05,1157,2.58,0.0,True,2.58,activated,hamilton_13,SR
1Pre,2Shock,-0.0,2.31,-2.31,0.15,-14.96,0.0,-0.86,1159,2.31,0.0,True,2.31,activated,hamilton_13,SIR
1Pre,2Shock,0.0,-0.06,0.06,0.06,1.06,0.54,0.06,1166,-0.06,0.57,False,-0.06,non responder,hamilton_14,SR
1Pre,2Shock,-0.0,0.05,-0.05,0.05,-1.08,0.53,-0.06,1168,0.05,0.56,False,0.05,non responder,hamilton_14,SIR
1Pre,2Shock,-0.0,-0.94,0.94,0.06,15.21,0.0,0.88,1173,-0.94,0.0,True,-0.94,inhibited,hamilton_14,SR
1Pre,2Shock,-0.0,-0.98,0.98,0.07,14.63,0.0,0.84,1175,-0.98,0.0,True,-0.98,inhibited,hamilton_14,SR
1Pre,2Shock,0.0,0.09,-0.09,0.06,-1.47,0.3,-0.09,1176,0.09,0.33,False,0.09,non responder,hamilton_05,SR
1Pre,2Shock,-0.0,-0.04,0.04,0.4,0.1,0.99,0.01,1177,-0.04,0.99,False,-0.04,non responder,hamilton_05,SIR
1Pre,2Shock,0.0,-0.1,0.1,0.06,1.69,0.21,0.1,1178,-0.1,0.23,False,-0.1,non responder,hamilton_05,SR
1Pre,2Shock,-0.0,0.26,-0.26,0.07,-3.57,0.0,-0.21,1179,0.26,0.0,True,0.26,activated,hamilton_05,SIR
1Pre,2Shock,0.0,-0.57,0.57,0.07,8.02,0.0,0.46,1180,-0.57,0.0,True,-0.57,inhibited,hamilton_05,SIR
1Pre,2Shock,-0.0,-0.33,0.33,0.05,6.3,0.0,0.36,1181,-0.33,0.0,True,-0.33,inhibited,hamilton_05,SIR
1Pre,2Shock,0.0,0.21,-0.21,0.04,-5.03,0.0,-0.29,1182,0.21,0.0,True,0.21,activated,hamilton_05,SR
1Pre,2Shock,-0.0,0.11,-0.11,0.05,-2.05,0.1,-0.12,1183,0.11,0.11,False,0.11,non responder,hamilton_05,SR
1Pre,2Shock,0.0,-0.17,0.17,0.06,2.91,0.01,0.17,1184,-0.17,0.01,False,-0.17,non responder,hamilton_17,SR
1Pre,2Shock,-0.0,0.32,-0.32,0.05,-6.02,0.0,-0.35,1186,0.32,0.0,True,0.32,activated,hamilton_17,SR
1Pre,2Shock,-0.0,-0.07,0.07,0.06,1.22,0.44,0.07,1187,-0.07,0.47,False,-0.07,non responder,hamilton_17,SIR
1Pre,2Shock,0.0,0.63,-0.63,0.05,-11.78,0.0,-0.68,1190,0.63,0.0,True,0.63,activated,hamilton_17,SIR
1Pre,2Shock,0.0,0.18,-0.18,0.07,-2.68,0.02,-0.15,1191,0.18,0.02,False,0.18,non responder,hamilton_17,SIR
1Pre,2Shock,-0.0,-0.36,0.36,0.05,6.81,0.0,0.39,1192,-0.36,0.0,True,-0.36,inhibited,hamilton_17,SIR
1Pre,2Shock,-0.0,-1.48,1.48,0.06,23.58,0.0,1.36,1193,-1.48,0.0,True,-1.48,inhibited,hamilton_17,SR
1Pre,2Shock,-0.0,0.59,-0.59,0.06,-10.78,0.0,-0.62,1194,0.59,0.0,True,0.59,activated,hamilton_17,SIR
