A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,div_inv,response,session_name,neuron_type
2Shock,3Post,-0.16,-0.55,0.39,0.05,7.66,0.0,0.44,1069,-0.39,0.0,True,-0.39,inhibited,hamilton_01,SIR
2Shock,3Post,1.79,0.04,1.74,0.06,30.74,0.0,1.77,1070,-1.74,0.0,True,-1.74,inhibited,hamilton_01,SIR
2Shock,3Post,1.42,0.43,0.99,0.08,12.63,0.0,0.73,1071,-0.99,0.0,True,-0.99,inhibited,hamilton_01,FF
2Shock,3Post,0.31,-2.13,2.44,0.07,34.43,0.0,1.99,1072,-2.44,0.0,True,-2.44,inhibited,hamilton_01,FF
2Shock,3Post,-0.14,-1.67,1.53,0.06,27.45,0.0,1.58,1074,-1.53,0.0,True,-1.53,inhibited,hamilton_01,SIR
2Shock,3Post,-1.07,-1.49,0.42,0.04,10.63,0.0,0.61,1075,-0.42,0.0,True,-0.42,inhibited,hamilton_01,SR
2Shock,3Post,-0.23,2.82,-3.05,0.08,-37.64,0.0,-2.17,1076,3.05,0.0,True,3.05,activated,hamilton_01,SIR
2Shock,3Post,-0.16,-0.41,0.25,0.05,4.74,0.0,0.27,1078,-0.25,0.0,True,-0.25,inhibited,hamilton_01,SR
2Shock,3Post,-1.02,-1.04,0.02,0.03,0.5,0.87,0.03,1079,-0.02,0.9,False,-0.02,non responder,hamilton_01,SIR
2Shock,3Post,3.91,2.36,1.54,0.1,15.62,0.0,0.9,1082,-1.54,0.0,True,-1.54,inhibited,hamilton_01,SIR
2Shock,3Post,-0.32,-0.66,0.34,0.04,7.48,0.0,0.43,1084,-0.34,0.0,True,-0.34,inhibited,hamilton_01,SIR
2Shock,3Post,1.54,0.36,1.18,0.05,22.75,0.0,1.31,1085,-1.18,0.0,True,-1.18,inhibited,hamilton_01,SR
2Shock,3Post,-0.8,-1.05,0.25,0.05,5.23,0.0,0.3,1087,-0.25,0.0,True,-0.25,inhibited,hamilton_01,SIR
2Shock,3Post,-0.46,0.86,-1.33,0.06,-21.13,0.0,-1.22,1088,1.33,0.0,True,1.33,activated,hamilton_02,SIR
