neuron_id,UMAP-1,UMAP-2
1069,9.643581,8.368321
1070,7.4910626,5.361826
1071,8.490869,6.4435024
1072,8.378103,4.7462835
1074,8.954882,6.5905604
1075,10.214061,8.312813
1076,8.259328,6.49483
1078,12.299982,7.9570813
1079,9.485937,8.670872
1081,11.587446,8.944565
1082,8.149274,4.88617
1084,10.449931,7.7433105
1085,13.497846,7.7665453
1087,8.969488,4.155227
1088,7.427039,4.5541205
1093,2.744786,9.081434
1094,8.902778,8.092177
1095,9.184251,8.298558
1096,9.069522,8.284271
1098,6.861212,8.712784
1100,11.642487,9.150403
1102,13.560768,7.61893
1104,8.994946,8.400732
1105,2.840915,9.170453
1106,7.060573,4.9079313
1107,8.926929,5.720412
1111,12.96876,9.073797
1114,11.819361,7.6628175
1116,12.011459,8.177572
1118,11.853845,8.173381
1119,11.344882,8.1064205
1121,11.413686,8.17716
1123,9.005339,1.8249667
1124,11.039477,8.397842
1127,9.284427,3.567664
1129,9.238768,3.716067
1131,4.466576,8.79168
1133,5.380742,8.686652
1134,9.836098,8.338677
1136,11.862653,8.226597
1137,7.1134315,8.405528
1138,5.3073163,8.756685
1139,10.664616,8.218741
1140,7.9859033,7.5708914
1142,13.726756,7.455716
1143,13.390072,6.92721
1144,4.3622923,8.3167515
1145,10.020705,8.906653
1146,8.869724,8.141578
1147,10.017068,7.8341928
1148,11.135851,8.850827
1149,12.502094,7.12753
1150,11.547021,7.2131004
1151,12.27751,7.588023
1152,9.9645405,4.9833703
1153,13.374222,8.327316
1154,12.507254,6.165298
1155,13.6990185,7.7438993
1156,10.233868,5.72174
1157,10.433951,6.355391
1158,13.387714,6.7698836
1159,10.468968,6.3944206
1161,9.948343,5.2894225
1164,12.886972,8.704087
1166,9.209846,6.392638
1168,12.391975,7.3259845
1172,12.181536,5.79386
1173,12.705952,6.3269525
1174,12.970844,6.9916105
1175,12.377262,7.4592915
1176,9.68452,2.3327618
1177,7.375894,8.622375
1178,8.032515,4.6865363
1179,6.538065,8.673316
1180,4.7630315,8.445521
1181,8.951522,8.363762
1182,11.195994,9.116119
1183,8.604881,4.5013947
1184,8.622918,4.390318
1186,8.998514,4.2187843
1187,10.050876,5.4071307
1190,13.447094,8.558084
1191,7.666822,4.7512035
1192,11.654807,7.325435
1193,9.687906,4.690058
1194,10.763022,5.7786746
1195,7.9339576,8.561716
1196,9.153552,4.5329137
1197,9.217904,4.7275186
1198,9.114192,3.9580462
1201,12.121001,8.338329
1202,11.348536,8.511558
1203,10.366704,5.9899135
1204,9.96539,4.934874
1205,9.030191,6.2631335
1208,9.178517,3.8133717
1209,7.3939123,4.7913175
1210,9.471809,2.1829448
1211,13.302761,7.8030777
1212,10.14415,5.5875497
1213,9.436905,2.5918376
1214,9.530282,4.6025863
1215,11.524382,8.435576
1216,9.469481,1.5124049
1219,7.471563,4.4595304
1220,10.81018,8.356287
1221,8.504929,4.6495113
1222,8.334043,5.8310413
1224,8.03297,4.0714183
1226,9.494169,1.708635
1227,11.782233,6.9547415
